spot_exch,fut_exch,symbol,ask_spot,bid_futures,spread_pct,ts,bn_fr,bn_fr_next,bn_fr_time,bb_fr,bb_fr_next,bb_fr_time,ok_fr,ok_fr_next,ok_fr_time,gt_fr,gt_fr_next,gt_fr_time,s_b1,s_b2,s_b3,s_b4,s_b5,s_b6,s_b7,s_b8,s_b9,s_b10,s_bq1,s_bq2,s_bq3,s_bq4,s_bq5,s_bq6,s_bq7,s_bq8,s_bq9,s_bq10,s_a1,s_a2,s_a3,s_a4,s_a5,s_a6,s_a7,s_a8,s_a9,s_a10,s_aq1,s_aq2,s_aq3,s_aq4,s_aq5,s_aq6,s_aq7,s_aq8,s_aq9,s_aq10,f_b1,f_b2,f_b3,f_b4,f_b5,f_b6,f_b7,f_b8,f_b9,f_b10,f_bq1,f_bq2,f_bq3,f_bq4,f_bq5,f_bq6,f_bq7,f_bq8,f_bq9,f_bq10,f_a1,f_a2,f_a3,f_a4,f_a5,f_a6,f_a7,f_a8,f_a9,f_a10,f_aq1,f_aq2,f_aq3,f_aq4,f_aq5,f_aq6,f_aq7,f_aq8,f_aq9,f_aq10
gate,bybit,VANRYUSDT,0.005627,0.006071,7.8905,1774091548615,,,,-0.0002817,,1774094400000,,,,0.000087,0.000087,,0.005626,11038,0.005625,23853,0.005624,30582,0.005623,49644,0.005622,45810,0.005621,42782,0.00562,43490,0.005619,11600,0.005618,20000,0.005617,11600,0.005627,20000,0.005628,198218,0.005629,140481,0.00563,46258,0.005631,472858,0.005632,31600,0.005633,11600,0.005634,31600,0.005635,11600,0.005636,31600,0.006071,4839,0.006070,1648,0.006069,21960,0.006068,19716,0.006067,18658,0.006066,28801,0.006065,15425,0.006064,43662,0.006063,64852,0.006062,49417,0.006072,20498,0.006073,3504,0.006074,24239,0.006075,16432,0.006076,40801,0.006077,30327,0.006078,73289,0.006079,23019,0.006080,19687,0.006081,45606
gate,bybit,VANRYUSDT,0.005627,0.006071,7.8905,1774091548916,,,,-0.0002817,,1774094400000,,,,0.000087,0.000087,,0.005626,11038,0.005625,23853,0.005624,30582,0.005623,49644,0.005622,45810,0.005621,42782,0.00562,43490,0.005619,11600,0.005618,20000,0.005617,11600,0.005627,20000,0.005628,198218,0.005629,140481,0.00563,46258,0.005631,472858,0.005632,31600,0.005633,11600,0.005634,31600,0.005635,11600,0.005636,31600,0.006071,4839,0.006070,1648,0.006069,21960,0.006068,19716,0.006067,18658,0.006066,28801,0.006065,15425,0.006064,43662,0.006063,64852,0.006062,49417,0.006072,20498,0.006073,3504,0.006074,24239,0.006075,16432,0.006076,40801,0.006077,30327,0.006078,73289,0.006079,23019,0.006080,19687,0.006081,45606
gate,bybit,VANRYUSDT,0.005627,0.006071,7.8905,1774091549222,,,,-0.0002817,,1774094400000,,,,0.000087,0.000087,,0.005626,11038,0.005625,23853,0.005624,30582,0.005623,49644,0.005622,45810,0.005621,42782,0.00562,43490,0.005619,11600,0.005618,20000,0.005617,11600,0.005627,20000,0.005628,198218,0.005629,140481,0.00563,46258,0.005631,472858,0.005632,31600,0.005633,11600,0.005634,31600,0.005635,11600,0.005636,31600,0.006071,4839,0.006070,1648,0.006069,21960,0.006068,19716,0.006067,18658,0.006066,28801,0.006065,15425,0.006064,43662,0.006063,64852,0.006062,49417,0.006072,20498,0.006073,3504,0.006074,24239,0.006075,16432,0.006076,40801,0.006077,30327,0.006078,73289,0.006079,23019,0.006080,19687,0.006081,45606
gate,bybit,VANRYUSDT,0.005627,0.006071,7.8905,1774091549524,,,,-0.0002817,,1774094400000,,,,0.000087,0.000087,,0.005626,11038,0.005625,23853,0.005624,30582,0.005623,49644,0.005622,45810,0.005621,42782,0.00562,43490,0.005619,11600,0.005618,20000,0.005617,11600,0.005627,20000,0.005628,198218,0.005629,140481,0.00563,46258,0.005631,472858,0.005632,31600,0.005633,11600,0.005634,31600,0.005635,11600,0.005636,31600,0.006071,4839,0.006070,1648,0.006069,21960,0.006068,19716,0.006067,18658,0.006066,28801,0.006065,15425,0.006064,43662,0.006063,64852,0.006062,49417,0.006072,20498,0.006073,3504,0.006074,24239,0.006075,16432,0.006076,40801,0.006077,30327,0.006078,73289,0.006079,23019,0.006080,19687,0.006081,45606
gate,bybit,VANRYUSDT,0.005627,0.006071,7.8905,1774091549825,,,,-0.0002817,,1774094400000,,,,0.000087,0.000087,,0.005626,11038,0.005625,23853,0.005624,30582,0.005623,49644,0.005622,45810,0.005621,42782,0.00562,43490,0.005619,11600,0.005618,20000,0.005617,11600,0.005627,20000,0.005628,198218,0.005629,140481,0.00563,46258,0.005631,472858,0.005632,31600,0.005633,11600,0.005634,31600,0.005635,11600,0.005636,31600,0.006071,4839,0.006070,1648,0.006069,21960,0.006068,19716,0.006067,18658,0.006066,28801,0.006065,15425,0.006064,43662,0.006063,64852,0.006062,49417,0.006072,20498,0.006073,3504,0.006074,24239,0.006075,16432,0.006076,40801,0.006077,30327,0.006078,73289,0.006079,23019,0.006080,19687,0.006081,45606
gate,bybit,VANRYUSDT,0.005627,0.006071,7.8905,1774091550128,,,,-0.0002817,,1774094400000,,,,0.000087,0.000087,,0.005626,11038,0.005625,23853,0.005624,30582,0.005623,49644,0.005622,45810,0.005621,42782,0.00562,43490,0.005619,11600,0.005618,20000,0.005617,11600,0.005627,20000,0.005628,198218,0.005629,140481,0.00563,46258,0.005631,472858,0.005632,31600,0.005633,11600,0.005634,31600,0.005635,11600,0.005636,31600,0.006071,4839,0.006070,1648,0.006069,21960,0.006068,19716,0.006067,18658,0.006066,28801,0.006065,15425,0.006064,43662,0.006063,64852,0.006062,49417,0.006072,20498,0.006073,3504,0.006074,24239,0.006075,16432,0.006076,40801,0.006077,30327,0.006078,73289,0.006079,23019,0.006080,19687,0.006081,45606
gate,bybit,VANRYUSDT,0.005627,0.006071,7.8905,1774091550429,,,,-0.0002817,,1774094400000,,,,0.000087,0.000087,,0.005626,11038,0.005625,23853,0.005624,30582,0.005623,49644,0.005622,45810,0.005621,42782,0.00562,43490,0.005619,11600,0.005618,20000,0.005617,11600,0.005627,20000,0.005628,198218,0.005629,140481,0.00563,46258,0.005631,472858,0.005632,31600,0.005633,11600,0.005634,31600,0.005635,11600,0.005636,31600,0.006071,4839,0.006070,1648,0.006069,21960,0.006068,19716,0.006067,18658,0.006066,28801,0.006065,15425,0.006064,43662,0.006063,64852,0.006062,49417,0.006072,20498,0.006073,3504,0.006074,24239,0.006075,16432,0.006076,40801,0.006077,30327,0.006078,73289,0.006079,23019,0.006080,19687,0.006081,45606
gate,bybit,VANRYUSDT,0.005627,0.006071,7.8905,1774091550729,,,,-0.0002817,,1774094400000,,,,0.000087,0.000087,,0.005626,11038,0.005625,23853,0.005624,30582,0.005623,49644,0.005622,45810,0.005621,42782,0.00562,43490,0.005619,11600,0.005618,20000,0.005617,11600,0.005627,20000,0.005628,198218,0.005629,140481,0.00563,46258,0.005631,472858,0.005632,31600,0.005633,11600,0.005634,31600,0.005635,11600,0.005636,31600,0.006071,4839,0.006070,1648,0.006069,21960,0.006068,19716,0.006067,18658,0.006066,28801,0.006065,15425,0.006064,43662,0.006063,64852,0.006062,49417,0.006072,20498,0.006073,3504,0.006074,24239,0.006075,16432,0.006076,40801,0.006077,30327,0.006078,73289,0.006079,23019,0.006080,19687,0.006081,45606
gate,bybit,VANRYUSDT,0.005627,0.006071,7.8905,1774091551031,,,,-0.0002817,,1774094400000,,,,0.000087,0.000087,,0.005626,11038,0.005625,23853,0.005624,30582,0.005623,49644,0.005622,45810,0.005621,42782,0.00562,43490,0.005619,11600,0.005618,20000,0.005617,11600,0.005627,20000,0.005628,198218,0.005629,140481,0.00563,46258,0.005631,472858,0.005632,31600,0.005633,11600,0.005634,31600,0.005635,11600,0.005636,31600,0.006071,4839,0.006070,1648,0.006069,21960,0.006068,19716,0.006067,18658,0.006066,28801,0.006065,15425,0.006064,43662,0.006063,64852,0.006062,49417,0.006072,20498,0.006073,3504,0.006074,24239,0.006075,16432,0.006076,40801,0.006077,30327,0.006078,73289,0.006079,23019,0.006080,19687,0.006081,45606
gate,bybit,VANRYUSDT,0.005627,0.006071,7.8905,1774091551331,,,,-0.0002817,,1774094400000,,,,0.000087,0.000087,,0.005626,11038,0.005625,23853,0.005624,30582,0.005623,49644,0.005622,45810,0.005621,42782,0.00562,43490,0.005619,11600,0.005618,20000,0.005617,11600,0.005627,20000,0.005628,198218,0.005629,140481,0.00563,46258,0.005631,472858,0.005632,31600,0.005633,11600,0.005634,31600,0.005635,11600,0.005636,31600,0.006071,4839,0.006070,1648,0.006069,21960,0.006068,19716,0.006067,18658,0.006066,28801,0.006065,15425,0.006064,43662,0.006063,64852,0.006062,49417,0.006072,20498,0.006073,3504,0.006074,24239,0.006075,16432,0.006076,40801,0.006077,30327,0.006078,73289,0.006079,23019,0.006080,19687,0.006081,45606
gate,bybit,VANRYUSDT,0.005627,0.006071,7.8905,1774091551631,,,,-0.0002817,,1774094400000,,,,0.000087,0.000087,,0.005626,11038,0.005625,23853,0.005624,30582,0.005623,49644,0.005622,45810,0.005621,42782,0.00562,43490,0.005619,11600,0.005618,20000,0.005617,11600,0.005627,20000,0.005628,198218,0.005629,140481,0.00563,46258,0.005631,472858,0.005632,31600,0.005633,11600,0.005634,31600,0.005635,11600,0.005636,31600,0.006071,4839,0.006070,1648,0.006069,21960,0.006068,19716,0.006067,18658,0.006066,28801,0.006065,15425,0.006064,43662,0.006063,64852,0.006062,49417,0.006072,28678,0.006073,3504,0.006074,24239,0.006075,16432,0.006076,40801,0.006077,30327,0.006078,73289,0.006079,23019,0.006080,19687,0.006081,45606
gate,bybit,VANRYUSDT,0.005627,0.006071,7.8905,1774091551932,,,,-0.0002817,,1774094400000,,,,0.000087,0.000087,,0.005626,11038,0.005625,23853,0.005624,30582,0.005623,49644,0.005622,45810,0.005621,42782,0.00562,43490,0.005619,11600,0.005618,20000,0.005617,11600,0.005627,20000,0.005628,198218,0.005629,140481,0.00563,46258,0.005631,472858,0.005632,31600,0.005633,11600,0.005634,31600,0.005635,11600,0.005636,31600,0.006071,4839,0.006070,1648,0.006069,21960,0.006068,19716,0.006067,18658,0.006066,28801,0.006065,15425,0.006064,43662,0.006063,64852,0.006062,49417,0.006072,28678,0.006073,3504,0.006074,24239,0.006075,16432,0.006076,40801,0.006077,30327,0.006078,73289,0.006079,23019,0.006080,19687,0.006081,45606
gate,bybit,VANRYUSDT,0.005627,0.006071,7.8905,1774091552232,,,,-0.0002817,,1774094400000,,,,0.000087,0.000087,,0.005626,11038,0.005625,23853,0.005624,30582,0.005623,49644,0.005622,45810,0.005621,42782,0.00562,43490,0.005619,11600,0.005618,20000,0.005617,11600,0.005627,20000,0.005628,198218,0.005629,140481,0.00563,46258,0.005631,472858,0.005632,31600,0.005633,11600,0.005634,31600,0.005635,11600,0.005636,31600,0.006071,4839,0.006070,1648,0.006069,21960,0.006068,19716,0.006067,18658,0.006066,28801,0.006065,15425,0.006064,43662,0.006063,64852,0.006062,49417,0.006072,28678,0.006073,3504,0.006074,24239,0.006075,16432,0.006076,40801,0.006077,30327,0.006078,73289,0.006079,23019,0.006080,19687,0.006081,45606
gate,bybit,VANRYUSDT,0.005627,0.006071,7.8905,1774091552532,,,,-0.0002817,,1774094400000,,,,0.000096,0.000096,,0.005626,11038,0.005625,23853,0.005624,30582,0.005623,49644,0.005622,45810,0.005621,42782,0.00562,43490,0.005619,11600,0.005618,20000,0.005617,11600,0.005627,20000,0.005628,198218,0.005629,140481,0.00563,46258,0.005631,472858,0.005632,31600,0.005633,11600,0.005634,31600,0.005635,11600,0.005636,31600,0.006071,4839,0.006070,1648,0.006069,21960,0.006068,19716,0.006067,18658,0.006066,28801,0.006065,15425,0.006064,43662,0.006063,64852,0.006062,49417,0.006072,28678,0.006073,3504,0.006074,24239,0.006075,16432,0.006076,40801,0.006077,30327,0.006078,73289,0.006079,23019,0.006080,19687,0.006081,45606
gate,bybit,VANRYUSDT,0.005627,0.006071,7.8905,1774091552832,,,,-0.0002817,,1774094400000,,,,0.000096,0.000096,,0.005626,11038,0.005625,23853,0.005624,30582,0.005623,49644,0.005622,45810,0.005621,42782,0.00562,43490,0.005619,11600,0.005618,20000,0.005617,11600,0.005627,20000,0.005628,198218,0.005629,140481,0.00563,46258,0.005631,472858,0.005632,31600,0.005633,11600,0.005634,31600,0.005635,11600,0.005636,31600,0.006071,4839,0.006070,1648,0.006069,21960,0.006068,19716,0.006067,18658,0.006066,28801,0.006065,15425,0.006064,43662,0.006063,64852,0.006062,49417,0.006072,28678,0.006073,3504,0.006074,24239,0.006075,16432,0.006076,40801,0.006077,30327,0.006078,73289,0.006079,23019,0.006080,19687,0.006081,45606
gate,bybit,VANRYUSDT,0.005627,0.006071,7.8905,1774091553132,,,,-0.0002817,,1774094400000,,,,0.000096,0.000096,,0.005626,11038,0.005625,23853,0.005624,30582,0.005623,49644,0.005622,45810,0.005621,42782,0.00562,43490,0.005619,11600,0.005618,20000,0.005617,11600,0.005627,20000,0.005628,198218,0.005629,140481,0.00563,46258,0.005631,472858,0.005632,31600,0.005633,11600,0.005634,31600,0.005635,11600,0.005636,31600,0.006071,4839,0.006070,1648,0.006069,21960,0.006068,19716,0.006067,18658,0.006066,28801,0.006065,15425,0.006064,43662,0.006063,64852,0.006062,49417,0.006072,28678,0.006073,3504,0.006074,24239,0.006075,16432,0.006076,40801,0.006077,30327,0.006078,73289,0.006079,23019,0.006080,19687,0.006081,45606
gate,bybit,VANRYUSDT,0.005627,0.006071,7.8905,1774091553433,,,,-0.0002817,,1774094400000,,,,0.000096,0.000096,,0.005626,11038,0.005625,23853,0.005624,30582,0.005623,49644,0.005622,45810,0.005621,42782,0.00562,43490,0.005619,11600,0.005618,20000,0.005617,11600,0.005627,20000,0.005628,198218,0.005629,140481,0.00563,46258,0.005631,472858,0.005632,31600,0.005633,11600,0.005634,31600,0.005635,11600,0.005636,31600,0.006071,4839,0.006070,1648,0.006069,21960,0.006068,19716,0.006067,18658,0.006066,28801,0.006065,15425,0.006064,43662,0.006063,64852,0.006062,49417,0.006072,28678,0.006073,3504,0.006074,24239,0.006075,16432,0.006076,40801,0.006077,81196,0.006078,73289,0.006079,23019,0.006080,19687,0.006081,45606
gate,bybit,VANRYUSDT,0.005627,0.006071,7.8905,1774091553733,,,,-0.0002817,,1774094400000,,,,0.000096,0.000096,,0.005626,11038,0.005625,23853,0.005624,30582,0.005623,49644,0.005622,45810,0.005621,42782,0.00562,43490,0.005619,11600,0.005618,20000,0.005617,11600,0.005627,20000,0.005628,198218,0.005629,140481,0.00563,46258,0.005631,472858,0.005632,31600,0.005633,11600,0.005634,31600,0.005635,11600,0.005636,31600,0.006071,4839,0.006070,1648,0.006069,21960,0.006068,19716,0.006067,18658,0.006066,28801,0.006065,15425,0.006064,43662,0.006063,64852,0.006062,49417,0.006072,28678,0.006073,3504,0.006074,24239,0.006075,16432,0.006076,40801,0.006077,81196,0.006078,73289,0.006079,23019,0.006080,19687,0.006081,45606
gate,bybit,VANRYUSDT,0.005627,0.006071,7.8905,1774091554033,,,,-0.0002817,,1774094400000,,,,0.000096,0.000096,,0.005626,11038,0.005625,23853,0.005624,30582,0.005623,49644,0.005622,45810,0.005621,42782,0.00562,43490,0.005619,11600,0.005618,20000,0.005617,11600,0.005627,20000,0.005628,198218,0.005629,140481,0.00563,46258,0.005631,472858,0.005632,31600,0.005633,11600,0.005634,31600,0.005635,11600,0.005636,31600,0.006071,4839,0.006070,1648,0.006069,21960,0.006068,19716,0.006067,18658,0.006066,28801,0.006065,15425,0.006064,43662,0.006063,64852,0.006062,49417,0.006072,28678,0.006073,3504,0.006074,24239,0.006075,16432,0.006076,40801,0.006077,81196,0.006078,73289,0.006079,23019,0.006080,19687,0.006081,45606
gate,bybit,VANRYUSDT,0.005627,0.006071,7.8905,1774091554333,,,,-0.0002817,,1774094400000,,,,0.000096,0.000096,,0.005626,11038,0.005625,23853,0.005624,30582,0.005623,49644,0.005622,45810,0.005621,42782,0.00562,43490,0.005619,11600,0.005618,20000,0.005617,11600,0.005627,20000,0.005628,198218,0.005629,140481,0.00563,46258,0.005631,472858,0.005632,31600,0.005633,11600,0.005634,31600,0.005635,11600,0.005636,31600,0.006071,4839,0.006070,1648,0.006069,21960,0.006068,19716,0.006067,18658,0.006066,28801,0.006065,15425,0.006064,43662,0.006063,64852,0.006062,49417,0.006072,28678,0.006073,3504,0.006074,24239,0.006075,16432,0.006076,40801,0.006077,81196,0.006078,73289,0.006079,23019,0.006080,19687,0.006081,45606
gate,bybit,VANRYUSDT,0.005627,0.006071,7.8905,1774091554633,,,,-0.0002817,,1774094400000,,,,0.000096,0.000096,,0.005626,11038,0.005625,23853,0.005624,30582,0.005623,49644,0.005622,45810,0.005621,42782,0.00562,43490,0.005619,11600,0.005618,20000,0.005617,11600,0.005627,20000,0.005628,198218,0.005629,140481,0.00563,46258,0.005631,472858,0.005632,31600,0.005633,11600,0.005634,31600,0.005635,11600,0.005636,31600,0.006071,4839,0.006070,1648,0.006069,21960,0.006068,19716,0.006067,18658,0.006066,28801,0.006065,15425,0.006064,43662,0.006063,64852,0.006062,49417,0.006072,28678,0.006073,3504,0.006074,24239,0.006075,16432,0.006076,40801,0.006077,81196,0.006078,73289,0.006079,23019,0.006080,19687,0.006081,45606
gate,bybit,VANRYUSDT,0.005627,0.006071,7.8905,1774091554936,,,,-0.0002817,,1774094400000,,,,0.000096,0.000096,,0.005626,11038,0.005625,23853,0.005624,30582,0.005623,49644,0.005622,45810,0.005621,42782,0.00562,43490,0.005619,11600,0.005618,20000,0.005617,11600,0.005627,20000,0.005628,198218,0.005629,140481,0.00563,46258,0.005631,472858,0.005632,31600,0.005633,11600,0.005634,31600,0.005635,11600,0.005636,31600,0.006071,4839,0.006070,1648,0.006069,21960,0.006068,19716,0.006067,18658,0.006066,28801,0.006065,15425,0.006064,43662,0.006063,64852,0.006062,49417,0.006072,28678,0.006073,3504,0.006074,24239,0.006075,16432,0.006076,40801,0.006077,81196,0.006078,73289,0.006079,23019,0.006080,19687,0.006081,45606
gate,bybit,VANRYUSDT,0.005627,0.006071,7.8905,1774091555237,,,,-0.0002817,,1774094400000,,,,0.000096,0.000096,,0.005626,11038,0.005625,23853,0.005624,30582,0.005623,49644,0.005622,45810,0.005621,42782,0.00562,43490,0.005619,11600,0.005618,20000,0.005617,11600,0.005627,20000,0.005628,198218,0.005629,140481,0.00563,46258,0.005631,472858,0.005632,31600,0.005633,11600,0.005634,31600,0.005635,11600,0.005636,31600,0.006071,4839,0.006070,1648,0.006069,21960,0.006068,19716,0.006067,18658,0.006066,28801,0.006065,15425,0.006064,43662,0.006063,64852,0.006062,49417,0.006072,28678,0.006073,3504,0.006074,24239,0.006075,16432,0.006076,40801,0.006077,81196,0.006078,73289,0.006079,23019,0.006080,19687,0.006081,45606
gate,bybit,VANRYUSDT,0.005627,0.006071,7.8905,1774091555537,,,,-0.0002817,,1774094400000,,,,0.000096,0.000096,,0.005626,11038,0.005625,23853,0.005624,30582,0.005623,49644,0.005622,45810,0.005621,42782,0.00562,43490,0.005619,11600,0.005618,20000,0.005617,11600,0.005627,20000,0.005628,198218,0.005629,140481,0.00563,46258,0.005631,472858,0.005632,31600,0.005633,11600,0.005634,31600,0.005635,11600,0.005636,31600,0.006071,4839,0.006070,1648,0.006069,21960,0.006068,19716,0.006067,18658,0.006066,28801,0.006065,15425,0.006064,43662,0.006063,64852,0.006062,49417,0.006072,28678,0.006073,3504,0.006074,24239,0.006075,16432,0.006076,40801,0.006077,81196,0.006078,73289,0.006079,23019,0.006080,19687,0.006081,45606
gate,bybit,VANRYUSDT,0.005627,0.006071,7.8905,1774091555837,,,,-0.0002817,,1774094400000,,,,0.000096,0.000096,,0.005626,11038,0.005625,23853,0.005624,30582,0.005623,49644,0.005622,45810,0.005621,42782,0.00562,43490,0.005619,11600,0.005618,20000,0.005617,11600,0.005627,20000,0.005628,198218,0.005629,140481,0.00563,46258,0.005631,472858,0.005632,31600,0.005633,11600,0.005634,31600,0.005635,11600,0.005636,31600,0.006071,4839,0.006070,1648,0.006069,21960,0.006068,19716,0.006067,18658,0.006066,28801,0.006065,15425,0.006064,43662,0.006063,64852,0.006062,49417,0.006072,28678,0.006073,3504,0.006074,24239,0.006075,16432,0.006076,40801,0.006077,81196,0.006078,73289,0.006079,23019,0.006080,19687,0.006081,45606
gate,bybit,VANRYUSDT,0.005627,0.006071,7.8905,1774091556137,,,,-0.0002817,,1774094400000,,,,0.000096,0.000096,,0.005626,11038,0.005625,23853,0.005624,30582,0.005623,49644,0.005622,45810,0.005621,42782,0.00562,43490,0.005619,11600,0.005618,20000,0.005617,11600,0.005627,20000,0.005628,198218,0.005629,140481,0.00563,46258,0.005631,472858,0.005632,31600,0.005633,11600,0.005634,31600,0.005635,11600,0.005636,31600,0.006071,4839,0.006070,1648,0.006069,21960,0.006068,19716,0.006067,18658,0.006066,28801,0.006065,15425,0.006064,43662,0.006063,64852,0.006062,49417,0.006072,28678,0.006073,3504,0.006074,24239,0.006075,16432,0.006076,40801,0.006077,81196,0.006078,73289,0.006079,23019,0.006080,19687,0.006081,45606
gate,bybit,VANRYUSDT,0.005627,0.006071,7.8905,1774091556437,,,,-0.0002817,,1774094400000,,,,0.000096,0.000096,,0.005626,11038,0.005625,23853,0.005624,30582,0.005623,49644,0.005622,45810,0.005621,42782,0.00562,43490,0.005619,11600,0.005618,20000,0.005617,11600,0.005627,20000,0.005628,198218,0.005629,140481,0.00563,46258,0.005631,472858,0.005632,31600,0.005633,11600,0.005634,31600,0.005635,11600,0.005636,31600,0.006071,4839,0.006070,1648,0.006069,21960,0.006068,19716,0.006067,18658,0.006066,28801,0.006065,15425,0.006064,43662,0.006063,64852,0.006062,49417,0.006072,28678,0.006073,3504,0.006074,24239,0.006075,16432,0.006076,40801,0.006077,81196,0.006078,73289,0.006079,23019,0.006080,19687,0.006081,45606
gate,bybit,VANRYUSDT,0.005627,0.006071,7.8905,1774091556738,,,,-0.0002817,,1774094400000,,,,0.000096,0.000096,,0.005626,11038,0.005625,23853,0.005624,30582,0.005623,49644,0.005622,45810,0.005621,42782,0.00562,43490,0.005619,11600,0.005618,20000,0.005617,11600,0.005627,20000,0.005628,198218,0.005629,140481,0.00563,46258,0.005631,472858,0.005632,31600,0.005633,11600,0.005634,31600,0.005635,11600,0.005636,31600,0.006071,4839,0.006070,1648,0.006069,21960,0.006068,19716,0.006067,18658,0.006066,28801,0.006065,15425,0.006064,43662,0.006063,64852,0.006062,49417,0.006072,28678,0.006073,3504,0.006074,24239,0.006075,16432,0.006076,40801,0.006077,81196,0.006078,73289,0.006079,23019,0.006080,19687,0.006081,45606
gate,bybit,VANRYUSDT,0.005627,0.006071,7.8905,1774091557038,,,,-0.0002817,,1774094400000,,,,0.000096,0.000096,,0.005626,11038,0.005625,23853,0.005624,30582,0.005623,49644,0.005622,45810,0.005621,42782,0.00562,43490,0.005619,11600,0.005618,20000,0.005617,11600,0.005627,20000,0.005628,198218,0.005629,140481,0.00563,46258,0.005631,472858,0.005632,31600,0.005633,11600,0.005634,31600,0.005635,11600,0.005636,31600,0.006071,4839,0.006070,1648,0.006069,21960,0.006068,19716,0.006067,18658,0.006066,28801,0.006065,15425,0.006064,43662,0.006063,64852,0.006062,49417,0.006072,28678,0.006073,3504,0.006074,24239,0.006075,16432,0.006076,40801,0.006077,81196,0.006078,73289,0.006079,23019,0.006080,19687,0.006081,45606
gate,bybit,VANRYUSDT,0.005627,0.006071,7.8905,1774091557338,,,,-0.0002817,,1774094400000,,,,0.000096,0.000096,,0.005626,11038,0.005625,23853,0.005624,30582,0.005623,49644,0.005622,45810,0.005621,42782,0.00562,43490,0.005619,11600,0.005618,20000,0.005617,11600,0.005627,20000,0.005628,198218,0.005629,140481,0.00563,46258,0.005631,472858,0.005632,31600,0.005633,11600,0.005634,31600,0.005635,11600,0.005636,31600,0.006071,4839,0.006070,1648,0.006069,21960,0.006068,19716,0.006067,18658,0.006066,28801,0.006065,15425,0.006064,43662,0.006063,64852,0.006062,49417,0.006072,28678,0.006073,3504,0.006074,24239,0.006075,16432,0.006076,40801,0.006077,81196,0.006078,73289,0.006079,23019,0.006080,19687,0.006081,45606
gate,bybit,VANRYUSDT,0.005627,0.006071,7.8905,1774091557638,,,,-0.0002817,,1774094400000,,,,0.000096,0.000096,,0.005626,11038,0.005625,23853,0.005624,30582,0.005623,49644,0.005622,45810,0.005621,42782,0.00562,43490,0.005619,11600,0.005618,20000,0.005617,11600,0.005627,20000,0.005628,341098,0.00563,46258,0.005631,472858,0.005632,31600,0.005633,11600,0.005634,31600,0.005635,11600,0.005636,31600,0.005637,11600,0.006071,4839,0.006070,1648,0.006069,21960,0.006068,19716,0.006067,18658,0.006066,28801,0.006065,15425,0.006064,43662,0.006063,64852,0.006062,49417,0.006072,28678,0.006073,3504,0.006074,24239,0.006075,16432,0.006076,40801,0.006077,81196,0.006078,73289,0.006079,23019,0.006080,19687,0.006081,45606
gate,bybit,VANRYUSDT,0.005627,0.006071,7.8905,1774091557938,,,,-0.0002817,,1774094400000,,,,0.000096,0.000096,,0.005626,11038,0.005625,23853,0.005624,30582,0.005623,49644,0.005622,45810,0.005621,42782,0.00562,43490,0.005619,11600,0.005618,20000,0.005617,11600,0.005627,20000,0.005628,341098,0.00563,46258,0.005631,472858,0.005632,31600,0.005633,11600,0.005634,31600,0.005635,11600,0.005636,31600,0.005637,11600,0.006071,4839,0.006070,1648,0.006069,21960,0.006068,19716,0.006067,18658,0.006066,28801,0.006065,15425,0.006064,43662,0.006063,64852,0.006062,49417,0.006072,28678,0.006073,3504,0.006074,24239,0.006075,16432,0.006076,40801,0.006077,81196,0.006078,73289,0.006079,23019,0.006080,19687,0.006081,45606
gate,bybit,VANRYUSDT,0.005627,0.006071,7.8905,1774091558238,,,,-0.0002817,,1774094400000,,,,0.000096,0.000096,,0.005626,11038,0.005625,23853,0.005624,30582,0.005623,49644,0.005622,45810,0.005621,42782,0.00562,43490,0.005619,11600,0.005618,20000,0.005617,11600,0.005627,20000,0.005628,321098,0.00563,66258,0.005631,472858,0.005632,31600,0.005633,11600,0.005634,31600,0.005635,11600,0.005636,31600,0.005637,11600,0.006071,4839,0.006070,1648,0.006069,21960,0.006068,19716,0.006067,18658,0.006066,28801,0.006065,15425,0.006064,43662,0.006063,64852,0.006062,49417,0.006072,28678,0.006073,3504,0.006074,24239,0.006075,16432,0.006076,40801,0.006077,81196,0.006078,73289,0.006079,23019,0.006080,19687,0.006081,45606
gate,bybit,VANRYUSDT,0.005627,0.006071,7.8905,1774091558539,,,,-0.0002817,,1774094400000,,,,0.000096,0.000096,,0.005626,11038,0.005625,23853,0.005624,30582,0.005623,49644,0.005622,45810,0.005621,42782,0.00562,43490,0.005619,11600,0.005618,20000,0.005617,11600,0.005627,20000,0.005628,321098,0.00563,66258,0.005631,472858,0.005632,31600,0.005633,11600,0.005634,31600,0.005635,11600,0.005636,31600,0.005637,11600,0.006071,4839,0.006070,1648,0.006069,21960,0.006068,19716,0.006067,18658,0.006066,28801,0.006065,15425,0.006064,43662,0.006063,64852,0.006062,49417,0.006072,28678,0.006073,3504,0.006074,24239,0.006075,16432,0.006076,40801,0.006077,81196,0.006078,73289,0.006079,23019,0.006080,19687,0.006081,45606
