spot_source_id,fut_source_id,symbol,ask_spot,bid_futures,spread_pct,ts,s_b1,s_b2,s_b3,s_b4,s_b5,s_b6,s_b7,s_b8,s_b9,s_b10,s_bq1,s_bq2,s_bq3,s_bq4,s_bq5,s_bq6,s_bq7,s_bq8,s_bq9,s_bq10,s_a1,s_a2,s_a3,s_a4,s_a5,s_a6,s_a7,s_a8,s_a9,s_a10,s_aq1,s_aq2,s_aq3,s_aq4,s_aq5,s_aq6,s_aq7,s_aq8,s_aq9,s_aq10,f_b1,f_b2,f_b3,f_b4,f_b5,f_b6,f_b7,f_b8,f_b9,f_b10,f_bq1,f_bq2,f_bq3,f_bq4,f_bq5,f_bq6,f_bq7,f_bq8,f_bq9,f_bq10,f_a1,f_a2,f_a3,f_a4,f_a5,f_a6,f_a7,f_a8,f_a9,f_a10,f_aq1,f_aq2,f_aq3,f_aq4,f_aq5,f_aq6,f_aq7,f_aq8,f_aq9,f_aq10,fr_r,fr_ft
6,3,VANRYUSDT,0.005525,0.005955,7.7828,1774127365576,0.005524,6203,0.005523,24982,0.005522,17506,0.005521,23506,0.00552,20190,0.005519,17604,0.005518,17471,0.005517,21600,0.005516,14082,0.005515,21600,0.005525,9042,0.005526,111020,0.005527,147158,0.005528,276611,0.005529,170082,0.00553,115354,0.005531,116457,0.005532,188290,0.005533,135917,0.005538,11600,0.005955,31435,0.005954,1680,0.005953,1681,0.005952,12457,0.005951,11206,0.005950,10977,0.005949,10048,0.005948,29649,0.005947,8512,0.005946,9441,0.005956,1770,0.005957,1680,0.005958,27801,0.005959,16628,0.005960,8093,0.005961,53723,0.005962,9343,0.005963,9185,0.005964,52315,0.005965,8873,0.00005,1774137600000
6,3,VANRYUSDT,0.005525,0.005955,7.7828,1774127365876,0.005524,6203,0.005523,24982,0.005522,17506,0.005521,23506,0.00552,20190,0.005519,17604,0.005518,17471,0.005517,21600,0.005516,14082,0.005515,21600,0.005525,9042,0.005526,111020,0.005527,147158,0.005528,276611,0.005529,170082,0.00553,115354,0.005531,116457,0.005532,188290,0.005533,135917,0.005538,11600,0.005955,31435,0.005954,1680,0.005953,1681,0.005952,12457,0.005951,11206,0.005950,10977,0.005949,10048,0.005948,29649,0.005947,8512,0.005946,9441,0.005956,1770,0.005957,1680,0.005958,27801,0.005959,16628,0.005960,8093,0.005961,53723,0.005962,9343,0.005963,9185,0.005964,52315,0.005965,8873,0.00005,1774137600000
6,3,VANRYUSDT,0.005526,0.005955,7.7633,1774127366178,0.005524,17803,0.005523,24982,0.005522,17506,0.005521,23506,0.00552,20190,0.005519,17604,0.005518,11600,0.005517,21600,0.005516,14082,0.005515,21600,0.005526,95479,0.005527,147158,0.005528,285653,0.005529,174023,0.00553,115354,0.005531,116457,0.005532,188290,0.005533,135917,0.005538,11600,0.005539,16516,0.005955,31435,0.005954,1680,0.005953,1681,0.005952,12457,0.005951,11206,0.005950,10977,0.005949,10048,0.005948,29649,0.005947,8512,0.005946,9441,0.005956,1770,0.005957,1680,0.005958,27801,0.005959,16628,0.005960,8093,0.005961,53723,0.005962,9343,0.005963,9185,0.005964,52315,0.005965,8873,0.00005,1774137600000
6,3,VANRYUSDT,0.005526,0.005955,7.7633,1774127366478,0.005524,17803,0.005523,24982,0.005522,17506,0.005521,23506,0.00552,20190,0.005519,17604,0.005518,11600,0.005517,21600,0.005516,14082,0.005515,21600,0.005526,95479,0.005527,147158,0.005528,285653,0.005529,174023,0.00553,115354,0.005531,116457,0.005532,188290,0.005533,135917,0.005538,11600,0.005539,16516,0.005955,31435,0.005954,1680,0.005953,1681,0.005952,12457,0.005951,11206,0.005950,10977,0.005949,10048,0.005948,29649,0.005947,8512,0.005946,9441,0.005956,1770,0.005957,1680,0.005958,27801,0.005959,16628,0.005960,8093,0.005961,53723,0.005962,9343,0.005963,9185,0.005964,52315,0.005965,8873,0.00005,1774137600000
6,3,VANRYUSDT,0.005526,0.005955,7.7633,1774127366778,0.005524,17803,0.005523,24982,0.005522,17506,0.005521,23506,0.00552,20190,0.005519,17604,0.005518,11600,0.005517,21600,0.005516,14082,0.005515,21600,0.005526,95479,0.005527,147158,0.005528,285653,0.005529,174023,0.00553,115354,0.005531,116457,0.005532,188290,0.005533,135917,0.005538,11600,0.005539,16516,0.005955,31435,0.005954,1680,0.005953,1681,0.005952,12457,0.005951,11206,0.005950,10977,0.005949,10048,0.005948,29649,0.005947,8512,0.005946,9441,0.005956,1770,0.005957,1680,0.005958,27801,0.005959,16628,0.005960,8093,0.005961,53723,0.005962,9343,0.005963,9185,0.005964,52315,0.005965,8873,0.00005,1774137600000
6,3,VANRYUSDT,0.005526,0.005955,7.7633,1774127367081,0.005524,17803,0.005523,24982,0.005522,17506,0.005521,23506,0.00552,20190,0.005519,17604,0.005518,11600,0.005517,21600,0.005516,14082,0.005515,21600,0.005526,81264,0.005527,147158,0.005528,285653,0.005529,188238,0.00553,115354,0.005531,116457,0.005532,188290,0.005533,135917,0.005538,11600,0.005539,16516,0.005955,31435,0.005954,1680,0.005953,1681,0.005952,12457,0.005951,11206,0.005950,10977,0.005949,10048,0.005948,29649,0.005947,8512,0.005946,9441,0.005956,1770,0.005957,1680,0.005958,27801,0.005959,16628,0.005960,8093,0.005961,53723,0.005962,9343,0.005963,9185,0.005964,52315,0.005965,8873,0.00005,1774137600000
6,3,VANRYUSDT,0.005526,0.005955,7.7633,1774127367383,0.005524,17803,0.005523,24982,0.005522,17506,0.005521,23506,0.00552,20190,0.005519,17604,0.005518,11600,0.005517,21600,0.005516,14082,0.005515,21600,0.005526,81264,0.005527,147158,0.005528,285653,0.005529,188238,0.00553,115354,0.005531,116457,0.005532,188290,0.005533,135917,0.005538,11600,0.005539,16516,0.005955,31435,0.005954,1680,0.005953,1681,0.005952,12457,0.005951,11206,0.005950,10977,0.005949,10048,0.005948,29649,0.005947,8512,0.005946,9441,0.005956,1770,0.005957,1680,0.005958,27801,0.005959,16628,0.005960,8093,0.005961,53723,0.005962,9343,0.005963,9185,0.005964,52315,0.005965,8873,0.00005,1774137600000
6,3,VANRYUSDT,0.005526,0.005955,7.7633,1774127367683,0.005524,17803,0.005523,24982,0.005522,17506,0.005521,23506,0.00552,20190,0.005519,17604,0.005518,11600,0.005517,21600,0.005516,14082,0.005515,21600,0.005526,81264,0.005527,147158,0.005528,285653,0.005529,188238,0.00553,115354,0.005531,116457,0.005532,188290,0.005533,135917,0.005538,11600,0.005539,16516,0.005955,31435,0.005954,1680,0.005953,1681,0.005952,12457,0.005951,11206,0.005950,10977,0.005949,10048,0.005948,29649,0.005947,8512,0.005946,9441,0.005956,1770,0.005957,1680,0.005958,27801,0.005959,16628,0.005960,8093,0.005961,53723,0.005962,9343,0.005963,9185,0.005964,52315,0.005965,8873,0.00005,1774137600000
6,3,VANRYUSDT,0.005526,0.005955,7.7633,1774127367983,0.005524,17803,0.005523,24982,0.005522,17506,0.005521,23506,0.00552,20190,0.005519,17604,0.005518,11600,0.005517,21600,0.005516,14082,0.005515,21600,0.005526,81264,0.005527,147158,0.005528,285653,0.005529,188238,0.00553,115354,0.005531,116457,0.005532,188290,0.005533,135917,0.005538,11600,0.005539,16516,0.005955,31435,0.005954,1680,0.005953,1681,0.005952,12457,0.005951,11206,0.005950,10977,0.005949,10048,0.005948,29649,0.005947,8512,0.005946,9441,0.005956,1770,0.005957,1680,0.005958,27801,0.005959,16628,0.005960,8093,0.005961,53723,0.005962,9343,0.005963,9185,0.005964,52315,0.005965,8873,0.00005,1774137600000
6,3,VANRYUSDT,0.005526,0.005955,7.7633,1774127368283,0.005524,17803,0.005523,24982,0.005522,17506,0.005521,23506,0.00552,20190,0.005519,17604,0.005518,11600,0.005517,21600,0.005516,14082,0.005515,21600,0.005526,73485,0.005527,147158,0.005528,285653,0.005529,202129,0.00553,115354,0.005531,116457,0.005532,188290,0.005533,135917,0.005538,11600,0.005539,16516,0.005955,31435,0.005954,1680,0.005953,1681,0.005952,12457,0.005951,11206,0.005950,10977,0.005949,10048,0.005948,29649,0.005947,8512,0.005946,9441,0.005956,1770,0.005957,1680,0.005958,27801,0.005959,16628,0.005960,8093,0.005961,53723,0.005962,9343,0.005963,9185,0.005964,52315,0.005965,8873,0.00005,1774137600000
6,3,VANRYUSDT,0.005526,0.005955,7.7633,1774127368583,0.005524,17803,0.005523,24982,0.005522,17506,0.005521,23506,0.00552,20190,0.005519,17604,0.005518,11600,0.005517,21600,0.005516,14082,0.005515,21600,0.005526,73485,0.005527,147158,0.005528,285653,0.005529,202129,0.00553,115354,0.005531,116457,0.005532,188290,0.005533,135917,0.005538,11600,0.005539,16516,0.005955,31435,0.005954,1680,0.005953,1681,0.005952,12457,0.005951,11206,0.005950,10977,0.005949,10048,0.005948,29649,0.005947,8512,0.005946,9441,0.005956,1770,0.005957,1680,0.005958,27801,0.005959,16628,0.005960,8093,0.005961,53723,0.005962,9343,0.005963,9185,0.005964,52315,0.005965,8873,0.00005,1774137600000
6,3,VANRYUSDT,0.005526,0.005955,7.7633,1774127368884,0.005524,17803,0.005523,24982,0.005522,17506,0.005521,23506,0.00552,20190,0.005519,17604,0.005518,11600,0.005517,21600,0.005516,14082,0.005515,21600,0.005526,73485,0.005527,147158,0.005528,285653,0.005529,202129,0.00553,115354,0.005531,116457,0.005532,188290,0.005533,135917,0.005538,11600,0.005539,16516,0.005955,31435,0.005954,1680,0.005953,1681,0.005952,12457,0.005951,11206,0.005950,10977,0.005949,10048,0.005948,29649,0.005947,8512,0.005946,9441,0.005956,1770,0.005957,1680,0.005958,27801,0.005959,16628,0.005960,8093,0.005961,53723,0.005962,9343,0.005963,9185,0.005964,52315,0.005965,8873,0.00005,1774137600000
6,3,VANRYUSDT,0.005526,0.005955,7.7633,1774127369184,0.005524,17803,0.005523,24982,0.005522,17506,0.005521,23506,0.00552,20190,0.005519,17604,0.005518,11600,0.005517,21600,0.005516,14082,0.005515,21600,0.005526,60097,0.005527,147158,0.005528,285653,0.005529,215410,0.00553,115354,0.005531,116457,0.005532,188290,0.005533,135917,0.005538,11600,0.005539,16516,0.005955,31435,0.005954,1680,0.005953,1681,0.005952,12457,0.005951,11206,0.005950,10977,0.005949,10048,0.005948,29649,0.005947,8512,0.005946,9441,0.005956,1770,0.005957,1680,0.005958,27801,0.005959,16628,0.005960,8093,0.005961,53723,0.005962,9343,0.005963,9185,0.005964,52315,0.005965,8873,0.00005,1774137600000
6,3,VANRYUSDT,0.005526,0.005955,7.7633,1774127369485,0.005524,17803,0.005523,24982,0.005522,17506,0.005521,23506,0.00552,20190,0.005519,17604,0.005518,11600,0.005517,21600,0.005516,14082,0.005515,21600,0.005526,60097,0.005527,147158,0.005528,285653,0.005529,215410,0.00553,115354,0.005531,116457,0.005532,188290,0.005533,135917,0.005538,11600,0.005539,16516,0.005955,31435,0.005954,1680,0.005953,1681,0.005952,12457,0.005951,11206,0.005950,10977,0.005949,10048,0.005948,29649,0.005947,8512,0.005946,9441,0.005956,1770,0.005957,1680,0.005958,27801,0.005959,16628,0.005960,8093,0.005961,53723,0.005962,9343,0.005963,9185,0.005964,52315,0.005965,8873,0.00005,1774137600000
6,3,VANRYUSDT,0.005525,0.005955,7.7828,1774127369785,0.005524,6203,0.005523,24982,0.005522,17506,0.005521,23506,0.00552,20190,0.005519,17604,0.005518,11600,0.005517,21600,0.005516,14082,0.005515,21600,0.005525,8502,0.005526,68758,0.005527,147158,0.005528,285653,0.005529,215410,0.00553,115354,0.005531,116457,0.005532,188290,0.005533,135917,0.005538,11600,0.005955,31197,0.005954,1680,0.005953,1681,0.005952,12457,0.005951,9690,0.005950,9461,0.005949,8532,0.005948,29649,0.005947,8512,0.005946,9441,0.005956,49793,0.005957,1680,0.005958,27801,0.005959,16628,0.005960,8093,0.005961,53723,0.005962,9343,0.005963,9185,0.005964,52315,0.005965,8873,0.00005,1774137600000
6,3,VANRYUSDT,0.005526,0.005955,7.7633,1774127370085,0.005524,6203,0.005523,24982,0.005522,17506,0.005521,23506,0.00552,20190,0.005519,17604,0.005518,11600,0.005517,21600,0.005516,14082,0.005515,21600,0.005526,68758,0.005527,147158,0.005528,285653,0.005529,215410,0.00553,115354,0.005531,116457,0.005532,188290,0.005533,135917,0.005538,11600,0.005539,16516,0.005955,31197,0.005954,1680,0.005953,1681,0.005952,12457,0.005951,9690,0.005950,9461,0.005949,8532,0.005948,29649,0.005947,8512,0.005946,9441,0.005956,49793,0.005957,1680,0.005958,27801,0.005959,16628,0.005960,8093,0.005961,53723,0.005962,9343,0.005963,9185,0.005964,52315,0.005965,8873,0.00005,1774137600000
6,3,VANRYUSDT,0.005525,0.005955,7.7828,1774127370385,0.005524,6203,0.005523,24982,0.005522,17506,0.005521,23506,0.00552,20190,0.005519,17604,0.005518,11600,0.005517,21600,0.005516,14082,0.005515,21600,0.005525,6872,0.005526,63032,0.005527,147158,0.005528,294155,0.005529,221136,0.00553,115354,0.005531,116457,0.005532,188290,0.005533,135917,0.005538,11600,0.005955,31197,0.005954,1680,0.005953,1681,0.005952,12457,0.005951,9690,0.005950,9461,0.005949,8532,0.005948,29649,0.005947,8512,0.005946,9441,0.005956,41597,0.005957,1680,0.005958,27801,0.005959,16628,0.005960,8093,0.005961,53723,0.005962,9343,0.005963,9185,0.005964,52315,0.005965,8873,0.00005,1774137600000
6,3,VANRYUSDT,0.005525,0.005955,7.7828,1774127370685,0.005524,6203,0.005523,24982,0.005522,17506,0.005521,23506,0.00552,20190,0.005519,17604,0.005518,11600,0.005517,21600,0.005516,14082,0.005515,21600,0.005525,6872,0.005526,63032,0.005527,147158,0.005528,294155,0.005529,221136,0.00553,115354,0.005531,116457,0.005532,188290,0.005533,135917,0.005538,11600,0.005955,31197,0.005954,1680,0.005953,1681,0.005952,12457,0.005951,9690,0.005950,9461,0.005949,8532,0.005948,29649,0.005947,8512,0.005946,9441,0.005956,41597,0.005957,1680,0.005958,27801,0.005959,16628,0.005960,8093,0.005961,53723,0.005962,9343,0.005963,9185,0.005964,52315,0.005965,8873,0.00005,1774137600000
6,3,VANRYUSDT,0.005525,0.005955,7.7828,1774127370986,0.005524,6203,0.005523,24982,0.005522,17506,0.005521,23506,0.00552,20190,0.005519,17604,0.005518,11600,0.005517,21600,0.005516,14082,0.005515,21600,0.005525,6872,0.005526,54371,0.005527,147158,0.005528,294155,0.005529,221136,0.00553,115354,0.005531,116457,0.005532,188290,0.005533,135917,0.005538,11600,0.005955,31197,0.005954,1680,0.005953,1681,0.005952,12457,0.005951,9690,0.005950,9461,0.005949,8532,0.005948,29649,0.005947,8512,0.005946,9441,0.005956,41597,0.005957,1680,0.005958,27801,0.005959,16628,0.005960,8093,0.005961,53723,0.005962,9343,0.005963,9185,0.005964,52315,0.005965,8873,0.00005,1774137600000
6,3,VANRYUSDT,0.005526,0.005955,7.7633,1774127371286,0.005524,6203,0.005523,24982,0.005522,17506,0.005521,23506,0.00552,20190,0.005519,17604,0.005518,11600,0.005517,21600,0.005516,14082,0.005515,21600,0.005526,58140,0.005527,147158,0.005528,301027,0.005529,226028,0.00553,115354,0.005531,116457,0.005532,188290,0.005533,135917,0.005538,11600,0.005539,16516,0.005955,31197,0.005954,1680,0.005953,1681,0.005952,12457,0.005951,9690,0.005950,9461,0.005949,8532,0.005948,29649,0.005947,8512,0.005946,9441,0.005956,41597,0.005957,1680,0.005958,27801,0.005959,16628,0.005960,8093,0.005961,53723,0.005962,9343,0.005963,9185,0.005964,52315,0.005965,8873,0.00005,1774137600000
6,3,VANRYUSDT,0.005526,0.005955,7.7633,1774127371591,0.005524,6203,0.005523,24982,0.005522,17506,0.005521,23506,0.00552,20190,0.005519,17604,0.005518,11600,0.005517,21600,0.005516,14082,0.005515,21600,0.005526,58140,0.005527,147158,0.005528,301027,0.005529,226028,0.00553,115354,0.005531,116457,0.005532,188290,0.005533,135917,0.005538,11600,0.005539,16516,0.005955,31197,0.005954,1680,0.005953,1681,0.005952,12457,0.005951,9690,0.005950,9461,0.005949,8532,0.005948,29649,0.005947,8512,0.005946,9441,0.005956,41597,0.005957,1680,0.005958,27801,0.005959,16628,0.005960,8093,0.005961,53723,0.005962,9343,0.005963,9185,0.005964,52315,0.005965,8873,0.00005,1774137600000
