spot_exch,fut_exch,symbol,ask_spot,bid_futures,spread_pct,ts,fr,fr_next,fr_time,s_b1,s_b2,s_b3,s_b4,s_b5,s_b6,s_b7,s_b8,s_b9,s_b10,s_bq1,s_bq2,s_bq3,s_bq4,s_bq5,s_bq6,s_bq7,s_bq8,s_bq9,s_bq10,s_a1,s_a2,s_a3,s_a4,s_a5,s_a6,s_a7,s_a8,s_a9,s_a10,s_aq1,s_aq2,s_aq3,s_aq4,s_aq5,s_aq6,s_aq7,s_aq8,s_aq9,s_aq10,f_b1,f_b2,f_b3,f_b4,f_b5,f_b6,f_b7,f_b8,f_b9,f_b10,f_bq1,f_bq2,f_bq3,f_bq4,f_bq5,f_bq6,f_bq7,f_bq8,f_bq9,f_bq10,f_a1,f_a2,f_a3,f_a4,f_a5,f_a6,f_a7,f_a8,f_a9,f_a10,f_aq1,f_aq2,f_aq3,f_aq4,f_aq5,f_aq6,f_aq7,f_aq8,f_aq9,f_aq10
gate,bybit,VANRYUSDT,0.005631,0.006069,7.7784,1774095621592,-0.00043727,,1774108800000,0.005629,13126,0.005628,28596,0.005627,19999,0.005626,19936,0.005625,39694,0.005624,43864,0.005623,48254,0.005613,11600,0.005612,41240,0.005611,11600,0.005631,186088,0.005632,171509,0.005633,31600,0.005634,46770,0.005635,90380,0.005636,284567,0.005637,28967,0.005639,11600,0.00564,26780,0.005655,10073,0.006069,8180,0.006068,2971,0.006067,22846,0.006066,11787,0.006065,15881,0.006064,18954,0.006063,27015,0.006062,27997,0.006061,22976,0.006060,26619,0.006070,4630,0.006071,3670,0.006072,43024,0.006073,18433,0.006074,73046,0.006075,30601,0.006076,22889,0.006077,48560,0.006078,72350,0.006079,30240
gate,bybit,VANRYUSDT,0.005631,0.006069,7.7784,1774095621892,-0.00043727,,1774108800000,0.005629,13126,0.005628,28596,0.005627,19999,0.005626,19936,0.005625,39694,0.005624,43864,0.005623,48254,0.005613,11600,0.005612,41240,0.005611,11600,0.005631,186088,0.005632,171509,0.005633,31600,0.005634,46770,0.005635,90380,0.005636,284567,0.005637,28967,0.005639,11600,0.00564,26780,0.005655,10073,0.006069,8180,0.006068,2971,0.006067,22846,0.006066,11787,0.006065,15881,0.006064,18954,0.006063,27015,0.006062,27997,0.006061,22976,0.006060,26619,0.006070,4630,0.006071,3670,0.006072,43024,0.006073,18433,0.006074,73046,0.006075,30601,0.006076,22889,0.006077,48560,0.006078,72350,0.006079,30240
gate,bybit,VANRYUSDT,0.005631,0.006069,7.7784,1774095622192,-0.00043727,,1774108800000,0.005629,13126,0.005628,28596,0.005627,19999,0.005626,19936,0.005625,39694,0.005624,43864,0.005623,48254,0.005613,11600,0.005612,41240,0.005611,11600,0.005631,186088,0.005632,171509,0.005633,31600,0.005634,46770,0.005635,90380,0.005636,284567,0.005637,28967,0.005639,11600,0.00564,26780,0.005655,10073,0.006069,8180,0.006068,2971,0.006067,22846,0.006066,11787,0.006065,15881,0.006064,18954,0.006063,27015,0.006062,47795,0.006061,22976,0.006060,26619,0.006070,4630,0.006071,3670,0.006072,43024,0.006073,18433,0.006074,73046,0.006075,30601,0.006076,22889,0.006077,48560,0.006078,72350,0.006079,30240
gate,bybit,VANRYUSDT,0.005631,0.006069,7.7784,1774095622493,-0.00043727,,1774108800000,0.005629,13126,0.005628,28596,0.005627,19999,0.005626,19936,0.005625,39694,0.005624,43864,0.005623,48254,0.005613,11600,0.005612,41240,0.005611,11600,0.005631,186088,0.005632,171509,0.005633,31600,0.005634,46770,0.005635,90380,0.005636,284567,0.005637,28967,0.005639,11600,0.00564,26780,0.005655,10073,0.006069,8180,0.006068,2971,0.006067,22846,0.006066,11787,0.006065,15881,0.006064,18954,0.006063,27015,0.006062,47795,0.006061,22976,0.006060,26619,0.006070,4630,0.006071,3670,0.006072,43024,0.006073,18433,0.006074,73046,0.006075,30601,0.006076,22889,0.006077,48560,0.006078,72350,0.006079,30240
gate,bybit,VANRYUSDT,0.005631,0.006069,7.7784,1774095622794,-0.00043727,,1774108800000,0.005629,13126,0.005628,28596,0.005627,19999,0.005626,19936,0.005625,39694,0.005624,43864,0.005623,48254,0.005613,11600,0.005612,41240,0.005611,11600,0.005631,186088,0.005632,171509,0.005633,31600,0.005634,46770,0.005635,90380,0.005636,284567,0.005637,28967,0.005639,11600,0.00564,26780,0.005655,10073,0.006069,8180,0.006068,2971,0.006067,22846,0.006066,11787,0.006065,15881,0.006064,18954,0.006063,27015,0.006062,47795,0.006061,22976,0.006060,26619,0.006070,4630,0.006071,3670,0.006072,43024,0.006073,18433,0.006074,73046,0.006075,30601,0.006076,22889,0.006077,48560,0.006078,72350,0.006079,30240
gate,bybit,VANRYUSDT,0.005631,0.006069,7.7784,1774095623094,-0.00043727,,1774108800000,0.005629,13126,0.005628,28596,0.005627,19999,0.005626,19936,0.005625,39694,0.005624,43864,0.005623,48254,0.005613,11600,0.005612,41240,0.005611,11600,0.005631,186088,0.005632,171509,0.005633,31600,0.005634,46770,0.005635,90380,0.005636,284567,0.005637,28967,0.005639,11600,0.00564,26780,0.005655,10073,0.006069,8180,0.006068,2971,0.006067,22846,0.006066,11787,0.006065,15881,0.006064,18954,0.006063,27015,0.006062,47795,0.006061,22976,0.006060,26619,0.006070,4630,0.006071,3670,0.006072,43024,0.006073,18433,0.006074,73046,0.006075,30601,0.006076,22889,0.006077,48560,0.006078,72350,0.006079,30240
gate,bybit,VANRYUSDT,0.005631,0.006069,7.7784,1774095623395,-0.00043727,,1774108800000,0.005629,13126,0.005628,28596,0.005627,19999,0.005626,19936,0.005625,39694,0.005624,43864,0.005623,48254,0.005613,11600,0.005612,41240,0.005611,11600,0.005631,186088,0.005632,171509,0.005633,31600,0.005634,46770,0.005635,90380,0.005636,284567,0.005637,28967,0.005639,11600,0.00564,26780,0.005655,10073,0.006069,8180,0.006068,2971,0.006067,22846,0.006066,11787,0.006065,15881,0.006064,18954,0.006063,27015,0.006062,47795,0.006061,22976,0.006060,26619,0.006070,4630,0.006071,3670,0.006072,43024,0.006073,18433,0.006074,73046,0.006075,30601,0.006076,22889,0.006077,48560,0.006078,72350,0.006079,30240
gate,bybit,VANRYUSDT,0.005631,0.006069,7.7784,1774095623695,-0.00043727,,1774108800000,0.005629,13126,0.005628,28596,0.005627,19999,0.005626,19936,0.005625,39694,0.005624,43864,0.005623,48254,0.005613,11600,0.005612,41240,0.005611,11600,0.005631,186088,0.005632,171509,0.005633,31600,0.005634,46770,0.005635,90380,0.005636,284567,0.005637,28967,0.005639,11600,0.00564,26780,0.005655,10073,0.006069,8180,0.006068,2971,0.006067,22846,0.006066,11787,0.006065,15881,0.006064,18954,0.006063,27015,0.006062,47795,0.006061,22976,0.006060,26619,0.006070,4630,0.006071,3670,0.006072,43024,0.006073,18433,0.006074,73046,0.006075,30601,0.006076,22889,0.006077,48560,0.006078,72350,0.006079,30240
gate,bybit,VANRYUSDT,0.005631,0.006069,7.7784,1774095623996,-0.00043727,,1774108800000,0.005629,13126,0.005628,28596,0.005627,19999,0.005626,19936,0.005625,39694,0.005624,43864,0.005623,48254,0.005613,11600,0.005612,41240,0.005611,11600,0.005631,186088,0.005632,171509,0.005633,31600,0.005634,46770,0.005635,90380,0.005636,284567,0.005637,28967,0.005639,11600,0.00564,26780,0.005655,10073,0.006069,8180,0.006068,2971,0.006067,22846,0.006066,11787,0.006065,15881,0.006064,18954,0.006063,27015,0.006062,47795,0.006061,22976,0.006060,26619,0.006070,4630,0.006071,3670,0.006072,43024,0.006073,18433,0.006074,73046,0.006075,30601,0.006076,22889,0.006077,48560,0.006078,72350,0.006079,30240
gate,bybit,VANRYUSDT,0.005631,0.006069,7.7784,1774095624296,-0.00043727,,1774108800000,0.005629,13126,0.005628,28596,0.005627,19999,0.005626,19936,0.005625,39694,0.005624,43864,0.005623,48254,0.005613,11600,0.005612,41240,0.005611,11600,0.005631,186088,0.005632,171509,0.005633,31600,0.005634,46770,0.005635,90380,0.005636,284567,0.005637,28967,0.005639,11600,0.00564,26780,0.005655,10073,0.006069,8180,0.006068,2971,0.006067,22846,0.006066,11787,0.006065,15881,0.006064,18954,0.006063,27015,0.006062,47795,0.006061,22976,0.006060,26619,0.006070,4630,0.006071,3670,0.006072,43024,0.006073,18433,0.006074,73046,0.006075,30601,0.006076,22889,0.006077,48560,0.006078,72350,0.006079,30240
gate,bybit,VANRYUSDT,0.005631,0.006069,7.7784,1774095624596,-0.00043727,,1774108800000,0.005629,13126,0.005628,28596,0.005627,19999,0.005626,19936,0.005625,39694,0.005624,43864,0.005623,48254,0.005613,11600,0.005612,41240,0.005611,11600,0.005631,186088,0.005632,171509,0.005633,31600,0.005634,46770,0.005635,90380,0.005636,284567,0.005637,28967,0.005639,11600,0.00564,26780,0.005655,10073,0.006069,8180,0.006068,2971,0.006067,22846,0.006066,11787,0.006065,15881,0.006064,18954,0.006063,27015,0.006062,47795,0.006061,22976,0.006060,26619,0.006070,4630,0.006071,3670,0.006072,43024,0.006073,18433,0.006074,73046,0.006075,30601,0.006076,22889,0.006077,48560,0.006078,72350,0.006079,30240
gate,bybit,VANRYUSDT,0.005631,0.006069,7.7784,1774095624897,-0.00043727,,1774108800000,0.005629,13126,0.005628,28596,0.005627,19999,0.005626,19936,0.005625,39694,0.005624,43864,0.005623,48254,0.005613,11600,0.005612,41240,0.005611,11600,0.005631,186088,0.005632,171509,0.005633,31600,0.005634,46770,0.005635,90380,0.005636,284567,0.005637,28967,0.005639,11600,0.00564,26780,0.005655,10073,0.006069,8180,0.006068,2971,0.006067,22846,0.006066,11787,0.006065,15881,0.006064,18954,0.006063,27015,0.006062,47795,0.006061,22976,0.006060,26619,0.006070,4630,0.006071,3670,0.006072,43024,0.006073,18433,0.006074,73046,0.006075,30601,0.006076,22889,0.006077,48560,0.006078,72350,0.006079,30240
gate,bybit,VANRYUSDT,0.005631,0.006069,7.7784,1774095625197,-0.00043727,,1774108800000,0.005629,13126,0.005628,28596,0.005627,19999,0.005626,19936,0.005625,39694,0.005624,43864,0.005623,48254,0.005613,11600,0.005612,41240,0.005611,11600,0.005631,186088,0.005632,171509,0.005633,31600,0.005634,46770,0.005635,90380,0.005636,284567,0.005637,28967,0.005639,11600,0.00564,26780,0.005655,10073,0.006069,8180,0.006068,2971,0.006067,22846,0.006066,11787,0.006065,15881,0.006064,18954,0.006063,27015,0.006062,47795,0.006061,22976,0.006060,26619,0.006070,4630,0.006071,3670,0.006072,43024,0.006073,18433,0.006074,73046,0.006075,30601,0.006076,22889,0.006077,48560,0.006078,72350,0.006079,30240
gate,bybit,VANRYUSDT,0.005631,0.006069,7.7784,1774095625497,-0.00043727,,1774108800000,0.005629,13126,0.005628,28596,0.005627,19999,0.005626,19936,0.005625,39694,0.005624,43864,0.005623,48254,0.005613,11600,0.005612,41240,0.005611,11600,0.005631,186088,0.005632,171509,0.005633,31600,0.005634,46770,0.005635,90380,0.005636,284567,0.005637,28967,0.005639,11600,0.00564,26780,0.005655,10073,0.006069,8180,0.006068,2971,0.006067,22846,0.006066,11787,0.006065,15881,0.006064,18954,0.006063,27015,0.006062,47795,0.006061,22976,0.006060,26619,0.006070,4630,0.006071,3670,0.006072,43024,0.006073,18433,0.006074,73046,0.006075,30601,0.006076,22889,0.006077,48560,0.006078,72350,0.006079,30240
gate,bybit,VANRYUSDT,0.005631,0.006069,7.7784,1774095625797,-0.00043727,,1774108800000,0.005629,13126,0.005628,28596,0.005627,19999,0.005626,19936,0.005625,39694,0.005624,43864,0.005623,48254,0.005613,11600,0.005612,41240,0.005611,11600,0.005631,186088,0.005632,171509,0.005633,31600,0.005634,46770,0.005635,90380,0.005636,284567,0.005637,28967,0.005639,11600,0.00564,26780,0.005655,10073,0.006069,8180,0.006068,2971,0.006067,22846,0.006066,11787,0.006065,15881,0.006064,18954,0.006063,27015,0.006062,47795,0.006061,22976,0.006060,26619,0.006070,4630,0.006071,3670,0.006072,43024,0.006073,18433,0.006074,73046,0.006075,30601,0.006076,22889,0.006077,48560,0.006078,72350,0.006079,30240
gate,bybit,VANRYUSDT,0.005631,0.006069,7.7784,1774095626097,-0.00043727,,1774108800000,0.005629,13126,0.005628,28596,0.005627,19999,0.005626,19936,0.005625,39694,0.005624,43864,0.005623,48254,0.005613,11600,0.005612,41240,0.005611,11600,0.005631,186088,0.005632,171509,0.005633,31600,0.005634,46770,0.005635,90380,0.005636,284567,0.005637,28967,0.005639,11600,0.00564,26780,0.005655,10073,0.006069,8180,0.006068,2971,0.006067,22846,0.006066,11787,0.006065,15881,0.006064,18954,0.006063,27015,0.006062,47795,0.006061,22976,0.006060,26619,0.006070,4630,0.006071,3670,0.006072,43024,0.006073,18433,0.006074,73046,0.006075,30601,0.006076,22889,0.006077,48560,0.006078,72350,0.006079,30240
gate,bybit,VANRYUSDT,0.005631,0.006069,7.7784,1774095626398,-0.00043727,,1774108800000,0.005629,13126,0.005628,28596,0.005627,19999,0.005626,19936,0.005625,39694,0.005624,43864,0.005623,48254,0.005613,11600,0.005612,41240,0.005611,11600,0.005631,186088,0.005632,171509,0.005633,31600,0.005634,46770,0.005635,90380,0.005636,284567,0.005637,28967,0.005639,11600,0.00564,26780,0.005655,10073,0.006069,8180,0.006068,2971,0.006067,22846,0.006066,11787,0.006065,15881,0.006064,18954,0.006063,27015,0.006062,47795,0.006061,22976,0.006060,26619,0.006070,4630,0.006071,3670,0.006072,43024,0.006073,18433,0.006074,73046,0.006075,30601,0.006076,22889,0.006077,48560,0.006078,72350,0.006079,30240
gate,bybit,VANRYUSDT,0.005631,0.006069,7.7784,1774095626698,-0.00043727,,1774108800000,0.005629,13126,0.005628,28596,0.005627,19999,0.005626,19936,0.005625,39694,0.005624,43864,0.005623,48254,0.005613,11600,0.005612,41240,0.005611,11600,0.005631,186088,0.005632,171509,0.005633,31600,0.005634,46770,0.005635,90380,0.005636,284567,0.005637,28967,0.005639,11600,0.00564,26780,0.005655,10073,0.006069,8180,0.006068,2971,0.006067,22846,0.006066,11787,0.006065,15881,0.006064,18954,0.006063,27015,0.006062,47795,0.006061,22976,0.006060,26619,0.006070,4630,0.006071,3670,0.006072,43024,0.006073,18433,0.006074,73046,0.006075,30601,0.006076,22889,0.006077,48560,0.006078,72350,0.006079,30240
gate,bybit,VANRYUSDT,0.005631,0.006069,7.7784,1774095626998,-0.00043727,,1774108800000,0.005629,13126,0.005628,28596,0.005627,19999,0.005626,19936,0.005625,39694,0.005624,43864,0.005623,48254,0.005613,11600,0.005612,41240,0.005611,11600,0.005631,186088,0.005632,171509,0.005633,31600,0.005634,46770,0.005635,90380,0.005636,284567,0.005637,28967,0.005639,11600,0.00564,26780,0.005655,10073,0.006069,8180,0.006068,2971,0.006067,22846,0.006066,11787,0.006065,15881,0.006064,18954,0.006063,27015,0.006062,47795,0.006061,22976,0.006060,26619,0.006070,4630,0.006071,3670,0.006072,43024,0.006073,18433,0.006074,73046,0.006075,30601,0.006076,22889,0.006077,48560,0.006078,72350,0.006079,30240
gate,bybit,VANRYUSDT,0.005631,0.006069,7.7784,1774095627299,-0.00043727,,1774108800000,0.005629,13126,0.005628,28596,0.005627,19999,0.005626,19936,0.005625,39694,0.005624,43864,0.005623,48254,0.005613,11600,0.005612,41240,0.005611,11600,0.005631,186088,0.005632,171509,0.005633,31600,0.005634,46770,0.005635,90380,0.005636,284567,0.005637,28967,0.005639,11600,0.00564,26780,0.005655,10073,0.006069,8180,0.006068,2971,0.006067,22846,0.006066,11787,0.006065,15881,0.006064,20491,0.006063,27015,0.006062,47795,0.006061,77418,0.006060,26619,0.006070,4630,0.006071,1648,0.006072,23226,0.006073,18433,0.006074,73046,0.006075,30601,0.006076,22889,0.006077,48560,0.006078,72350,0.006079,30240
gate,bybit,VANRYUSDT,0.005631,0.006069,7.7784,1774095627602,-0.00043727,,1774108800000,0.005629,13126,0.005628,28596,0.005627,19999,0.005626,19936,0.005625,39694,0.005624,43864,0.005623,48254,0.005613,11600,0.005612,41240,0.005611,11600,0.005631,186088,0.005632,171509,0.005633,31600,0.005634,46770,0.005635,90380,0.005636,284567,0.005637,28967,0.005639,11600,0.00564,26780,0.005655,10073,0.006069,8180,0.006068,2971,0.006067,22846,0.006066,11787,0.006065,15881,0.006064,20491,0.006063,27015,0.006062,47795,0.006061,77418,0.006060,26619,0.006070,4630,0.006071,1648,0.006072,23226,0.006073,18433,0.006074,73046,0.006075,30601,0.006076,22889,0.006077,48560,0.006078,72350,0.006079,30240
gate,bybit,VANRYUSDT,0.005631,0.006069,7.7784,1774095627902,-0.00043727,,1774108800000,0.005629,13126,0.005628,28596,0.005627,19999,0.005626,19936,0.005625,39694,0.005624,43864,0.005623,48254,0.005613,11600,0.005612,41240,0.005611,11600,0.005631,186088,0.005632,171509,0.005633,31600,0.005634,46770,0.005635,90380,0.005636,284567,0.005637,28967,0.005639,11600,0.00564,26780,0.005655,10073,0.006069,8180,0.006068,2971,0.006067,22846,0.006066,11787,0.006065,15881,0.006064,20491,0.006063,27015,0.006062,47795,0.006061,77418,0.006060,26619,0.006070,4630,0.006071,1648,0.006072,23226,0.006073,18433,0.006074,73046,0.006075,30601,0.006076,22889,0.006077,48560,0.006078,72350,0.006079,30240
gate,bybit,VANRYUSDT,0.005631,0.006069,7.7784,1774095628205,-0.00043727,,1774108800000,0.005629,13126,0.005628,28596,0.005627,19999,0.005626,19936,0.005625,39694,0.005624,43864,0.005623,48254,0.005613,11600,0.005612,41240,0.005611,11600,0.005631,186088,0.005632,171509,0.005633,31600,0.005634,46770,0.005635,90380,0.005636,284567,0.005637,28967,0.005639,11600,0.00564,26780,0.005655,10073,0.006069,8180,0.006068,2971,0.006067,22846,0.006066,11787,0.006065,15881,0.006064,20491,0.006063,27015,0.006062,47795,0.006061,77418,0.006060,26619,0.006070,4630,0.006071,1648,0.006072,43024,0.006073,18433,0.006074,73046,0.006075,30601,0.006076,22889,0.006077,48560,0.006078,72350,0.006079,30240
gate,bybit,VANRYUSDT,0.005631,0.006069,7.7784,1774095628506,-0.00043727,,1774108800000,0.005629,13126,0.005628,28596,0.005627,19999,0.005626,19936,0.005625,39694,0.005624,43864,0.005623,48254,0.005613,11600,0.005612,41240,0.005611,11600,0.005631,186088,0.005632,171509,0.005633,31600,0.005634,46770,0.005635,90380,0.005636,284567,0.005637,28967,0.005639,11600,0.00564,26780,0.005655,10073,0.006069,8180,0.006068,2971,0.006067,22846,0.006066,11787,0.006065,15881,0.006064,20491,0.006063,27015,0.006062,47795,0.006061,77418,0.006060,26619,0.006070,4630,0.006071,1648,0.006072,43024,0.006073,18433,0.006074,73046,0.006075,30601,0.006076,22889,0.006077,48560,0.006078,72350,0.006079,30240
gate,bybit,VANRYUSDT,0.005631,0.006069,7.7784,1774095628808,-0.00043727,,1774108800000,0.005629,13126,0.005628,28596,0.005627,19999,0.005626,19936,0.005625,39694,0.005624,43864,0.005623,48254,0.005613,11600,0.005612,41240,0.005611,11600,0.005631,186088,0.005632,171509,0.005633,31600,0.005634,46770,0.005635,90380,0.005636,284567,0.005637,28967,0.005639,11600,0.00564,26780,0.005655,10073,0.006069,8180,0.006068,2971,0.006067,22846,0.006066,11787,0.006065,15881,0.006064,20491,0.006063,27015,0.006062,47795,0.006061,77418,0.006060,26619,0.006070,4630,0.006071,1648,0.006072,43024,0.006073,18433,0.006074,73046,0.006075,30601,0.006076,22889,0.006077,48560,0.006078,72350,0.006079,30240
gate,bybit,VANRYUSDT,0.005631,0.006069,7.7784,1774095629113,-0.00043727,,1774108800000,0.005629,13126,0.005628,28596,0.005627,19999,0.005626,19936,0.005625,39694,0.005624,43864,0.005623,48254,0.005613,11600,0.005612,41240,0.005611,11600,0.005631,186088,0.005632,171509,0.005633,31600,0.005634,46770,0.005635,90380,0.005636,284567,0.005637,28967,0.005639,11600,0.00564,26780,0.005655,10073,0.006069,8180,0.006068,2971,0.006067,22846,0.006066,11787,0.006065,15881,0.006064,20491,0.006063,27015,0.006062,47795,0.006061,77418,0.006060,26619,0.006070,4630,0.006071,1648,0.006072,43024,0.006073,18433,0.006074,73046,0.006075,30601,0.006076,22889,0.006077,48560,0.006078,72350,0.006079,30240
gate,bybit,VANRYUSDT,0.005631,0.006069,7.7784,1774095629417,-0.00043727,,1774108800000,0.005629,13126,0.005628,28596,0.005627,19999,0.005626,19936,0.005625,39694,0.005624,43864,0.005623,48254,0.005613,11600,0.005612,41240,0.005611,11600,0.005631,186088,0.005632,171509,0.005633,31600,0.005634,46770,0.005635,90380,0.005636,284567,0.005637,28967,0.005639,11600,0.00564,26780,0.005655,10073,0.006069,8180,0.006068,2971,0.006067,22846,0.006066,11787,0.006065,15881,0.006064,20491,0.006063,27015,0.006062,47795,0.006061,77418,0.006060,26619,0.006070,4630,0.006071,1648,0.006072,43024,0.006073,18433,0.006074,73046,0.006075,30601,0.006076,22889,0.006077,48560,0.006078,72350,0.006079,30240
gate,bybit,VANRYUSDT,0.005631,0.006069,7.7784,1774095629719,-0.00043727,,1774108800000,0.005629,13126,0.005628,28596,0.005627,19999,0.005626,19936,0.005625,39694,0.005624,43864,0.005623,48254,0.005613,11600,0.005612,41240,0.005611,11600,0.005631,186088,0.005632,171509,0.005633,31600,0.005634,46770,0.005635,90380,0.005636,284567,0.005637,28967,0.005639,11600,0.00564,26780,0.005655,10073,0.006069,8180,0.006068,2971,0.006067,22846,0.006066,11787,0.006065,15881,0.006064,20491,0.006063,27015,0.006062,47795,0.006061,77418,0.006060,26619,0.006070,4630,0.006071,1648,0.006072,43024,0.006073,18433,0.006074,73046,0.006075,30601,0.006076,22889,0.006077,48560,0.006078,72350,0.006079,30240
gate,bybit,VANRYUSDT,0.005631,0.006069,7.7784,1774095630022,-0.00043727,,1774108800000,0.005629,13126,0.005628,28596,0.005627,19999,0.005626,19936,0.005625,39694,0.005624,43864,0.005623,48254,0.005613,11600,0.005612,41240,0.005611,11600,0.005631,186088,0.005632,171509,0.005633,31600,0.005634,46770,0.005635,90380,0.005636,284567,0.005637,28967,0.005639,11600,0.00564,26780,0.005655,10073,0.006069,8180,0.006068,2971,0.006067,22846,0.006066,11787,0.006065,15881,0.006064,20491,0.006063,27015,0.006062,47795,0.006061,77418,0.006060,26619,0.006070,4630,0.006071,1648,0.006072,43024,0.006073,18433,0.006074,73046,0.006075,30601,0.006076,22889,0.006077,48560,0.006078,72350,0.006079,30240
gate,bybit,VANRYUSDT,0.005631,0.006069,7.7784,1774095630325,-0.00043727,,1774108800000,0.005629,13126,0.005628,28596,0.005627,19999,0.005626,19936,0.005625,39694,0.005624,43864,0.005623,48254,0.005613,11600,0.005612,41240,0.005611,11600,0.005631,186088,0.005632,171509,0.005633,31600,0.005634,46770,0.005635,90380,0.005636,284567,0.005637,28967,0.005639,11600,0.00564,26780,0.005655,10073,0.006069,8180,0.006068,2971,0.006067,22846,0.006066,11787,0.006065,15881,0.006064,20491,0.006063,27015,0.006062,47795,0.006061,77418,0.006060,26619,0.006070,4630,0.006071,1648,0.006072,43024,0.006073,18433,0.006074,73046,0.006075,30601,0.006076,22889,0.006077,48560,0.006078,72350,0.006079,30240
gate,bybit,VANRYUSDT,0.005631,0.006069,7.7784,1774095630626,-0.00043727,,1774108800000,0.005629,13126,0.005628,28596,0.005627,19999,0.005626,19936,0.005625,39694,0.005624,43864,0.005623,48254,0.005613,11600,0.005612,41240,0.005611,11600,0.005631,186088,0.005632,171509,0.005633,31600,0.005634,46770,0.005635,90380,0.005636,284567,0.005637,28967,0.005639,11600,0.00564,26780,0.005655,10073,0.006069,8180,0.006068,2971,0.006067,22846,0.006066,11787,0.006065,15881,0.006064,20491,0.006063,27015,0.006062,47795,0.006061,77418,0.006060,26619,0.006070,4630,0.006071,1648,0.006072,43024,0.006073,18433,0.006074,73046,0.006075,30601,0.006076,22889,0.006077,48560,0.006078,72350,0.006079,30240
gate,bybit,VANRYUSDT,0.005631,0.006069,7.7784,1774095630926,-0.00043727,,1774108800000,0.005629,13126,0.005628,28596,0.005627,19999,0.005626,19936,0.005625,39694,0.005624,43864,0.005623,48254,0.005613,11600,0.005612,41240,0.005611,11600,0.005631,186088,0.005632,171509,0.005633,31600,0.005634,46770,0.005635,90380,0.005636,284567,0.005637,28967,0.005639,11600,0.00564,26780,0.005655,10073,0.006069,8180,0.006068,2971,0.006067,22846,0.006066,11787,0.006065,15881,0.006064,20491,0.006063,27015,0.006062,47795,0.006061,77418,0.006060,26619,0.006070,4630,0.006071,1648,0.006072,43024,0.006073,18433,0.006074,73046,0.006075,30601,0.006076,22889,0.006077,48560,0.006078,72350,0.006079,30240
gate,bybit,VANRYUSDT,0.005631,0.006069,7.7784,1774095631228,-0.00043727,,1774108800000,0.005629,13126,0.005628,28596,0.005627,19999,0.005626,19936,0.005625,39694,0.005624,43864,0.005623,48254,0.005613,11600,0.005612,41240,0.005611,11600,0.005631,186088,0.005632,171509,0.005633,31600,0.005634,46770,0.005635,90380,0.005636,284567,0.005637,28967,0.005639,11600,0.00564,26780,0.005655,10073,0.006069,8180,0.006068,2971,0.006067,22846,0.006066,11787,0.006065,15881,0.006064,20491,0.006063,27015,0.006062,47795,0.006061,77418,0.006060,26619,0.006070,4630,0.006071,1648,0.006072,43024,0.006073,18433,0.006074,73046,0.006075,30601,0.006076,22889,0.006077,48560,0.006078,72350,0.006079,30240
gate,bybit,VANRYUSDT,0.005631,0.006069,7.7784,1774095631528,-0.00043727,,1774108800000,0.005629,13126,0.005628,28596,0.005627,19999,0.005626,19936,0.005625,39694,0.005624,43864,0.005623,48254,0.005613,11600,0.005612,41240,0.005611,11600,0.005631,186088,0.005632,171509,0.005633,31600,0.005634,46770,0.005635,90380,0.005636,284567,0.005637,28967,0.005639,11600,0.00564,26780,0.005655,10073,0.006069,8180,0.006068,2971,0.006067,22846,0.006066,11787,0.006065,15881,0.006064,20491,0.006063,27015,0.006062,47795,0.006061,77418,0.006060,26619,0.006070,4630,0.006071,1648,0.006072,43024,0.006073,18433,0.006074,73046,0.006075,30601,0.006076,22889,0.006077,48560,0.006078,72350,0.006079,30240
gate,bybit,VANRYUSDT,0.005631,0.006069,7.7784,1774095631829,-0.00043727,,1774108800000,0.005629,13126,0.005628,28596,0.005627,19999,0.005626,19936,0.005625,39694,0.005624,43864,0.005623,48254,0.005613,11600,0.005612,41240,0.005611,11600,0.005631,186088,0.005632,171509,0.005633,31600,0.005634,46770,0.005635,90380,0.005636,284567,0.005637,28967,0.005639,11600,0.00564,26780,0.005655,10073,0.006069,8180,0.006068,2971,0.006067,22846,0.006066,11787,0.006065,15881,0.006064,20491,0.006063,27015,0.006062,47795,0.006061,77418,0.006060,26619,0.006070,4630,0.006071,1648,0.006072,43024,0.006073,18433,0.006074,73046,0.006075,30601,0.006076,22889,0.006077,48560,0.006078,72350,0.006079,30240
gate,bybit,VANRYUSDT,0.005631,0.006069,7.7784,1774095632129,-0.00043727,,1774108800000,0.005629,13126,0.005628,28596,0.005627,19999,0.005626,19936,0.005625,39694,0.005624,43864,0.005623,48254,0.005613,11600,0.005612,41240,0.005611,11600,0.005631,186088,0.005632,171509,0.005633,31600,0.005634,46770,0.005635,90380,0.005636,284567,0.005637,28967,0.005639,11600,0.00564,26780,0.005655,10073,0.006069,8180,0.006068,2971,0.006067,22846,0.006066,11787,0.006065,15881,0.006064,20491,0.006063,27015,0.006062,47795,0.006061,77418,0.006060,26619,0.006070,4630,0.006071,1648,0.006072,43024,0.006073,18433,0.006074,73046,0.006075,30601,0.006076,22889,0.006077,48560,0.006078,72350,0.006079,30240
