spot_exch,fut_exch,symbol,ask_spot,bid_futures,spread_pct,ts,fr,fr_next,fr_time,s_b1,s_b2,s_b3,s_b4,s_b5,s_b6,s_b7,s_b8,s_b9,s_b10,s_bq1,s_bq2,s_bq3,s_bq4,s_bq5,s_bq6,s_bq7,s_bq8,s_bq9,s_bq10,s_a1,s_a2,s_a3,s_a4,s_a5,s_a6,s_a7,s_a8,s_a9,s_a10,s_aq1,s_aq2,s_aq3,s_aq4,s_aq5,s_aq6,s_aq7,s_aq8,s_aq9,s_aq10,f_b1,f_b2,f_b3,f_b4,f_b5,f_b6,f_b7,f_b8,f_b9,f_b10,f_bq1,f_bq2,f_bq3,f_bq4,f_bq5,f_bq6,f_bq7,f_bq8,f_bq9,f_bq10,f_a1,f_a2,f_a3,f_a4,f_a5,f_a6,f_a7,f_a8,f_a9,f_a10,f_aq1,f_aq2,f_aq3,f_aq4,f_aq5,f_aq6,f_aq7,f_aq8,f_aq9,f_aq10
binance,gate,FUNUSDT,0.00145900,0.03215,2103.5641,1774095620991,,,,0.00145600,646678.00000000,0.00145500,7207191.00000000,0.00145400,1113354.00000000,0.00145300,514403.00000000,0.00145200,826783.00000000,0.00145100,515995.00000000,0.00145000,2322410.00000000,0.00144900,264685.00000000,0.00144800,595733.00000000,0.00144600,190899.00000000,0.00145900,93976.00000000,0.00146000,577865.00000000,0.00146100,985835.00000000,0.00146200,72292.00000000,0.00146300,532141.00000000,0.00146400,1746228.00000000,0.00146500,81129.00000000,0.00146600,88756.00000000,0.00146700,251750.00000000,0.00146800,797174.00000000,0.03215,15,0.03214,75,0.03212,15,0.03211,89,0.0321,52,0.03209,14,0.03208,90,0.03202,15,0.03201,75,0.032,14,0.03222,15,0.03223,88,0.03224,14,0.03225,89,0.03227,15,0.03228,75,0.0323,1,0.03232,14,0.03233,10,0.03234,89
binance,gate,FUNUSDT,0.00145900,0.03215,2103.5641,1774095621291,,,,0.00145600,646678.00000000,0.00145500,7207191.00000000,0.00145400,1113354.00000000,0.00145300,514403.00000000,0.00145200,826783.00000000,0.00145100,515995.00000000,0.00145000,2322410.00000000,0.00144900,264685.00000000,0.00144800,595733.00000000,0.00144600,190899.00000000,0.00145900,93976.00000000,0.00146000,577865.00000000,0.00146100,985835.00000000,0.00146200,72292.00000000,0.00146300,532141.00000000,0.00146400,1746228.00000000,0.00146500,81129.00000000,0.00146600,88756.00000000,0.00146700,251750.00000000,0.00146800,797174.00000000,0.03215,15,0.03214,75,0.03212,15,0.03211,89,0.0321,52,0.03209,14,0.03208,90,0.03202,15,0.03201,75,0.032,14,0.03222,15,0.03223,88,0.03224,14,0.03225,89,0.03227,15,0.03228,75,0.0323,1,0.03232,14,0.03233,10,0.03234,89
binance,gate,FUNUSDT,0.00145900,0.03215,2103.5641,1774095621592,,,,0.00145600,646678.00000000,0.00145500,7207191.00000000,0.00145400,1113354.00000000,0.00145300,514403.00000000,0.00145200,826783.00000000,0.00145100,515995.00000000,0.00145000,2322410.00000000,0.00144900,264685.00000000,0.00144800,595733.00000000,0.00144600,190899.00000000,0.00145900,93976.00000000,0.00146000,577865.00000000,0.00146100,985835.00000000,0.00146200,72292.00000000,0.00146300,532141.00000000,0.00146400,1746228.00000000,0.00146500,81129.00000000,0.00146600,88756.00000000,0.00146700,251750.00000000,0.00146800,797174.00000000,0.03215,15,0.03214,75,0.03212,15,0.03211,89,0.0321,52,0.03209,14,0.03208,90,0.03202,15,0.03201,75,0.032,14,0.03222,15,0.03223,88,0.03224,14,0.03225,89,0.03227,15,0.03228,75,0.0323,1,0.03232,14,0.03233,10,0.03234,89
binance,gate,FUNUSDT,0.00145900,0.03215,2103.5641,1774095621892,,,,0.00145600,646678.00000000,0.00145500,7207191.00000000,0.00145400,1113354.00000000,0.00145300,514403.00000000,0.00145200,826783.00000000,0.00145100,515995.00000000,0.00145000,2322410.00000000,0.00144900,264685.00000000,0.00144800,595733.00000000,0.00144600,190899.00000000,0.00145900,93976.00000000,0.00146000,577865.00000000,0.00146100,985835.00000000,0.00146200,72292.00000000,0.00146300,532141.00000000,0.00146400,1746228.00000000,0.00146500,81129.00000000,0.00146600,88756.00000000,0.00146700,251750.00000000,0.00146800,797174.00000000,0.03215,15,0.03214,75,0.03212,15,0.03211,89,0.0321,52,0.03209,14,0.03208,90,0.03202,15,0.03201,75,0.032,14,0.03222,15,0.03223,88,0.03224,14,0.03225,89,0.03227,15,0.03228,75,0.0323,1,0.03232,14,0.03233,10,0.03234,89
binance,gate,FUNUSDT,0.00145900,0.03215,2103.5641,1774095622192,,,,0.00145600,646678.00000000,0.00145500,7207191.00000000,0.00145400,1113354.00000000,0.00145300,514403.00000000,0.00145200,826783.00000000,0.00145100,515995.00000000,0.00145000,2322410.00000000,0.00144900,264685.00000000,0.00144800,595733.00000000,0.00144600,190899.00000000,0.00145900,93976.00000000,0.00146000,577865.00000000,0.00146100,985835.00000000,0.00146200,72292.00000000,0.00146300,532141.00000000,0.00146400,1746228.00000000,0.00146500,81129.00000000,0.00146600,88756.00000000,0.00146700,251750.00000000,0.00146800,797174.00000000,0.03215,15,0.03214,75,0.03212,15,0.03211,89,0.0321,52,0.03209,14,0.03208,90,0.03202,15,0.03201,75,0.032,14,0.03222,15,0.03223,88,0.03224,14,0.03225,89,0.03227,15,0.03228,75,0.0323,1,0.03232,14,0.03233,10,0.03234,89
binance,gate,FUNUSDT,0.00145900,0.03215,2103.5641,1774095622493,,,,0.00145600,646678.00000000,0.00145500,7207191.00000000,0.00145400,1113354.00000000,0.00145300,514403.00000000,0.00145200,826783.00000000,0.00145100,515995.00000000,0.00145000,2322410.00000000,0.00144900,264685.00000000,0.00144800,595733.00000000,0.00144600,190899.00000000,0.00145900,93976.00000000,0.00146000,577865.00000000,0.00146100,985835.00000000,0.00146200,72292.00000000,0.00146300,532141.00000000,0.00146400,1746228.00000000,0.00146500,81129.00000000,0.00146600,88756.00000000,0.00146700,251750.00000000,0.00146800,797174.00000000,0.03215,15,0.03214,75,0.03212,15,0.03211,89,0.0321,52,0.03209,14,0.03208,90,0.03202,15,0.03201,75,0.032,14,0.03222,15,0.03223,88,0.03224,14,0.03225,89,0.03227,15,0.03228,75,0.0323,1,0.03232,14,0.03233,10,0.03234,89
binance,gate,FUNUSDT,0.00145900,0.03215,2103.5641,1774095622794,,,,0.00145600,646678.00000000,0.00145500,7207191.00000000,0.00145400,1113354.00000000,0.00145300,514403.00000000,0.00145200,826783.00000000,0.00145100,515995.00000000,0.00145000,2322410.00000000,0.00144900,264685.00000000,0.00144800,595733.00000000,0.00144600,190899.00000000,0.00145900,93976.00000000,0.00146000,577865.00000000,0.00146100,985835.00000000,0.00146200,72292.00000000,0.00146300,532141.00000000,0.00146400,1746228.00000000,0.00146500,81129.00000000,0.00146600,88756.00000000,0.00146700,251750.00000000,0.00146800,797174.00000000,0.03215,15,0.03214,75,0.03212,15,0.03211,89,0.0321,52,0.03209,14,0.03208,90,0.03202,15,0.03201,75,0.032,14,0.03222,15,0.03223,88,0.03224,14,0.03225,89,0.03227,15,0.03228,75,0.0323,1,0.03232,14,0.03233,10,0.03234,89
binance,gate,FUNUSDT,0.00145900,0.03215,2103.5641,1774095623094,,,,0.00145600,646678.00000000,0.00145500,7207191.00000000,0.00145400,1113354.00000000,0.00145300,514403.00000000,0.00145200,826783.00000000,0.00145100,515995.00000000,0.00145000,2322410.00000000,0.00144900,264685.00000000,0.00144800,595733.00000000,0.00144600,190899.00000000,0.00145900,93976.00000000,0.00146000,577865.00000000,0.00146100,985835.00000000,0.00146200,72292.00000000,0.00146300,532141.00000000,0.00146400,1746228.00000000,0.00146500,81129.00000000,0.00146600,88756.00000000,0.00146700,251750.00000000,0.00146800,797174.00000000,0.03215,15,0.03214,75,0.03212,15,0.03211,89,0.0321,52,0.03209,14,0.03208,90,0.03202,15,0.03201,75,0.032,14,0.03223,74,0.03224,14,0.03225,89,0.03227,15,0.03228,75,0.0323,1,0.03232,14,0.03233,10,0.03234,89,0.03235,15
binance,gate,FUNUSDT,0.00145900,0.03215,2103.5641,1774095623395,,,,0.00145600,646678.00000000,0.00145500,7207191.00000000,0.00145400,1113354.00000000,0.00145300,514403.00000000,0.00145200,826783.00000000,0.00145100,515995.00000000,0.00145000,2322410.00000000,0.00144900,264685.00000000,0.00144800,595733.00000000,0.00144600,190899.00000000,0.00145900,93976.00000000,0.00146000,577865.00000000,0.00146100,985835.00000000,0.00146200,72292.00000000,0.00146300,532141.00000000,0.00146400,1746228.00000000,0.00146500,81129.00000000,0.00146600,88756.00000000,0.00146700,251750.00000000,0.00146800,797174.00000000,0.03215,15,0.03214,75,0.03212,15,0.03211,89,0.0321,52,0.03209,14,0.03208,90,0.03202,15,0.03201,75,0.032,14,0.03222,15,0.03223,74,0.03224,14,0.03225,89,0.03227,15,0.03228,75,0.0323,1,0.03232,14,0.03233,10,0.03234,89
binance,gate,FUNUSDT,0.00145900,0.03215,2103.5641,1774095623695,,,,0.00145600,646678.00000000,0.00145500,7207191.00000000,0.00145400,1113354.00000000,0.00145300,514403.00000000,0.00145200,826783.00000000,0.00145100,515995.00000000,0.00145000,2322410.00000000,0.00144900,264685.00000000,0.00144800,595733.00000000,0.00144600,190899.00000000,0.00145900,93976.00000000,0.00146000,577865.00000000,0.00146100,985835.00000000,0.00146200,72292.00000000,0.00146300,532141.00000000,0.00146400,1746228.00000000,0.00146500,81129.00000000,0.00146600,88756.00000000,0.00146700,251750.00000000,0.00146800,797174.00000000,0.03215,15,0.03214,75,0.03212,15,0.03211,89,0.0321,52,0.03209,14,0.03208,90,0.03202,15,0.03201,75,0.032,14,0.03222,15,0.03223,74,0.03224,14,0.03225,89,0.03227,15,0.03228,75,0.0323,1,0.03232,14,0.03233,10,0.03234,89
binance,gate,FUNUSDT,0.00145900,0.03215,2103.5641,1774095623996,,,,0.00145600,646678.00000000,0.00145500,7207191.00000000,0.00145400,1113354.00000000,0.00145300,514403.00000000,0.00145200,826783.00000000,0.00145100,515995.00000000,0.00145000,2322410.00000000,0.00144900,264685.00000000,0.00144800,595733.00000000,0.00144600,190899.00000000,0.00145900,93976.00000000,0.00146000,577865.00000000,0.00146100,985835.00000000,0.00146200,72292.00000000,0.00146300,532141.00000000,0.00146400,1746228.00000000,0.00146500,81129.00000000,0.00146600,88756.00000000,0.00146700,251750.00000000,0.00146800,797174.00000000,0.03215,15,0.03214,75,0.03212,15,0.03211,89,0.0321,52,0.03209,14,0.03208,90,0.03202,15,0.03201,75,0.032,14,0.03222,15,0.03223,74,0.03224,14,0.03225,89,0.03227,15,0.03228,75,0.0323,1,0.03232,14,0.03233,10,0.03234,89
binance,gate,FUNUSDT,0.00145900,0.03215,2103.5641,1774095624296,,,,0.00145600,646678.00000000,0.00145500,7207191.00000000,0.00145400,1113354.00000000,0.00145300,514403.00000000,0.00145200,826783.00000000,0.00145100,515995.00000000,0.00145000,2322410.00000000,0.00144900,264685.00000000,0.00144800,595733.00000000,0.00144600,190899.00000000,0.00145900,93976.00000000,0.00146000,577865.00000000,0.00146100,985835.00000000,0.00146200,72292.00000000,0.00146300,532141.00000000,0.00146400,1746228.00000000,0.00146500,81129.00000000,0.00146600,88756.00000000,0.00146700,251750.00000000,0.00146800,797174.00000000,0.03215,15,0.03214,75,0.03212,15,0.03211,89,0.0321,52,0.03209,14,0.03208,90,0.03202,15,0.03201,75,0.032,14,0.03222,15,0.03223,74,0.03224,14,0.03225,89,0.03227,15,0.03228,75,0.0323,1,0.03232,14,0.03233,10,0.03234,89
binance,gate,FUNUSDT,0.00145900,0.03215,2103.5641,1774095624596,,,,0.00145600,646678.00000000,0.00145500,7207191.00000000,0.00145400,1113354.00000000,0.00145300,514403.00000000,0.00145200,826783.00000000,0.00145100,515995.00000000,0.00145000,73333.00000000,0.00144900,264685.00000000,0.00144800,595733.00000000,0.00144600,190899.00000000,0.00145900,93976.00000000,0.00146000,577865.00000000,0.00146100,985835.00000000,0.00146200,72292.00000000,0.00146300,532141.00000000,0.00146400,1746228.00000000,0.00146500,81129.00000000,0.00146600,88756.00000000,0.00146700,251750.00000000,0.00146800,797174.00000000,0.03215,15,0.03214,75,0.03212,15,0.03211,89,0.0321,52,0.03209,14,0.03208,90,0.03202,15,0.03201,75,0.032,14,0.03222,15,0.03223,74,0.03224,14,0.03225,89,0.03227,15,0.03228,75,0.0323,1,0.03232,14,0.03233,10,0.03234,89
binance,gate,FUNUSDT,0.00145900,0.03215,2103.5641,1774095624897,,,,0.00145600,646678.00000000,0.00145500,7207191.00000000,0.00145400,1113354.00000000,0.00145300,514403.00000000,0.00145200,826783.00000000,0.00145100,515995.00000000,0.00145000,73333.00000000,0.00144900,264685.00000000,0.00144800,595733.00000000,0.00144600,190899.00000000,0.00145900,93976.00000000,0.00146000,577865.00000000,0.00146100,985835.00000000,0.00146200,72292.00000000,0.00146300,532141.00000000,0.00146400,1746228.00000000,0.00146500,81129.00000000,0.00146600,88756.00000000,0.00146700,251750.00000000,0.00146800,797174.00000000,0.03215,15,0.03214,75,0.03212,15,0.03211,89,0.0321,52,0.03209,14,0.03208,90,0.03202,15,0.03201,75,0.032,14,0.03222,15,0.03223,74,0.03224,14,0.03225,89,0.03227,15,0.03228,75,0.0323,1,0.03232,14,0.03233,10,0.03234,89
binance,gate,FUNUSDT,0.00145900,0.03215,2103.5641,1774095625197,,,,0.00145600,646678.00000000,0.00145500,7207191.00000000,0.00145400,1113354.00000000,0.00145300,514403.00000000,0.00145200,826783.00000000,0.00145100,515995.00000000,0.00145000,73333.00000000,0.00144900,264685.00000000,0.00144800,595733.00000000,0.00144600,190899.00000000,0.00145900,93976.00000000,0.00146000,577865.00000000,0.00146100,985835.00000000,0.00146200,72292.00000000,0.00146300,532141.00000000,0.00146400,1746228.00000000,0.00146500,81129.00000000,0.00146600,88756.00000000,0.00146700,251750.00000000,0.00146800,797174.00000000,0.03215,15,0.03214,75,0.03212,15,0.03211,89,0.0321,52,0.03209,14,0.03208,90,0.03202,15,0.03201,75,0.032,14,0.03222,15,0.03223,74,0.03224,14,0.03225,89,0.03227,15,0.03228,75,0.0323,1,0.03232,14,0.03233,10,0.03234,89
binance,gate,FUNUSDT,0.00145900,0.03215,2103.5641,1774095625497,,,,0.00145600,646678.00000000,0.00145500,7207191.00000000,0.00145400,1113354.00000000,0.00145300,514403.00000000,0.00145200,826783.00000000,0.00145100,515995.00000000,0.00145000,73333.00000000,0.00144900,264685.00000000,0.00144800,595733.00000000,0.00144600,190899.00000000,0.00145900,93976.00000000,0.00146000,577865.00000000,0.00146100,985835.00000000,0.00146200,72292.00000000,0.00146300,532141.00000000,0.00146400,1746228.00000000,0.00146500,81129.00000000,0.00146600,88756.00000000,0.00146700,251750.00000000,0.00146800,797174.00000000,0.03215,15,0.03214,75,0.03212,15,0.03211,89,0.0321,52,0.03209,14,0.03208,90,0.03202,15,0.03201,75,0.032,14,0.03222,15,0.03223,74,0.03224,14,0.03225,89,0.03227,15,0.03228,75,0.0323,1,0.03232,14,0.03233,10,0.03234,89
binance,gate,FUNUSDT,0.00145900,0.03215,2103.5641,1774095625797,,,,0.00145600,646678.00000000,0.00145500,7207191.00000000,0.00145400,1113354.00000000,0.00145300,514403.00000000,0.00145200,826783.00000000,0.00145100,515995.00000000,0.00145000,73333.00000000,0.00144900,264685.00000000,0.00144800,595733.00000000,0.00144600,190899.00000000,0.00145900,93976.00000000,0.00146000,577865.00000000,0.00146100,985835.00000000,0.00146200,72292.00000000,0.00146300,532141.00000000,0.00146400,1746228.00000000,0.00146500,81129.00000000,0.00146600,88756.00000000,0.00146700,251750.00000000,0.00146800,797174.00000000,0.03215,15,0.03214,75,0.03212,15,0.03211,89,0.0321,52,0.03209,14,0.03208,90,0.03202,15,0.03201,75,0.032,14,0.03222,15,0.03223,74,0.03224,14,0.03225,89,0.03227,15,0.03228,75,0.0323,1,0.03232,14,0.03233,10,0.03234,89
binance,gate,FUNUSDT,0.00145900,0.03215,2103.5641,1774095626097,,,,0.00145600,646678.00000000,0.00145500,7207191.00000000,0.00145400,1113354.00000000,0.00145300,514403.00000000,0.00145200,826783.00000000,0.00145100,515995.00000000,0.00145000,73333.00000000,0.00144900,264685.00000000,0.00144800,595733.00000000,0.00144600,190899.00000000,0.00145900,93976.00000000,0.00146000,577865.00000000,0.00146100,985835.00000000,0.00146200,72292.00000000,0.00146300,532141.00000000,0.00146400,1746228.00000000,0.00146500,81129.00000000,0.00146600,88756.00000000,0.00146700,251750.00000000,0.00146800,797174.00000000,0.03215,15,0.03214,75,0.03212,15,0.03211,89,0.0321,52,0.03209,14,0.03208,90,0.03202,15,0.03201,75,0.032,14,0.03222,15,0.03223,74,0.03224,14,0.03225,89,0.03227,15,0.03228,75,0.0323,1,0.03232,14,0.03233,10,0.03234,89
binance,gate,FUNUSDT,0.00145900,0.03215,2103.5641,1774095626398,,,,0.00145600,646678.00000000,0.00145500,7207191.00000000,0.00145400,1113354.00000000,0.00145300,514403.00000000,0.00145200,826783.00000000,0.00145100,515995.00000000,0.00145000,73333.00000000,0.00144900,264685.00000000,0.00144800,595733.00000000,0.00144600,190899.00000000,0.00145900,93976.00000000,0.00146000,577865.00000000,0.00146100,985835.00000000,0.00146200,72292.00000000,0.00146300,532141.00000000,0.00146400,1746228.00000000,0.00146500,81129.00000000,0.00146600,88756.00000000,0.00146700,251750.00000000,0.00146800,797174.00000000,0.03215,15,0.03214,75,0.03212,15,0.03211,89,0.0321,52,0.03209,14,0.03208,90,0.03202,15,0.03201,75,0.032,14,0.03222,15,0.03223,74,0.03224,14,0.03225,89,0.03227,15,0.03228,75,0.0323,1,0.03232,14,0.03233,10,0.03234,89
binance,gate,FUNUSDT,0.00145900,0.03215,2103.5641,1774095626698,,,,0.00145600,646678.00000000,0.00145500,7207191.00000000,0.00145400,1113354.00000000,0.00145300,514403.00000000,0.00145200,826783.00000000,0.00145100,515995.00000000,0.00145000,73333.00000000,0.00144900,264685.00000000,0.00144800,595733.00000000,0.00144600,190899.00000000,0.00145900,93976.00000000,0.00146000,577865.00000000,0.00146100,985835.00000000,0.00146200,72292.00000000,0.00146300,532141.00000000,0.00146400,1746228.00000000,0.00146500,81129.00000000,0.00146600,88756.00000000,0.00146700,251750.00000000,0.00146800,797174.00000000,0.03215,15,0.03214,75,0.03212,15,0.03211,89,0.0321,52,0.03209,14,0.03208,90,0.03202,15,0.03201,75,0.032,14,0.03222,15,0.03223,74,0.03224,14,0.03225,89,0.03227,15,0.03228,75,0.0323,1,0.03232,14,0.03233,10,0.03234,89
binance,gate,FUNUSDT,0.00145900,0.03215,2103.5641,1774095626998,,,,0.00145600,646678.00000000,0.00145500,7207191.00000000,0.00145400,1113354.00000000,0.00145300,514403.00000000,0.00145200,826783.00000000,0.00145100,515995.00000000,0.00145000,73333.00000000,0.00144900,264685.00000000,0.00144800,595733.00000000,0.00144600,190899.00000000,0.00145900,93976.00000000,0.00146000,577865.00000000,0.00146100,985835.00000000,0.00146200,72292.00000000,0.00146300,532141.00000000,0.00146400,1746228.00000000,0.00146500,81129.00000000,0.00146600,88756.00000000,0.00146700,251750.00000000,0.00146800,797174.00000000,0.03215,15,0.03214,75,0.03212,15,0.03211,89,0.0321,52,0.03209,14,0.03208,90,0.03202,15,0.03201,75,0.032,14,0.03222,15,0.03223,74,0.03224,14,0.03225,89,0.03227,15,0.03228,75,0.0323,1,0.03232,14,0.03233,10,0.03234,89
binance,gate,FUNUSDT,0.00145900,0.03215,2103.5641,1774095627299,,,,0.00145600,646678.00000000,0.00145500,7207191.00000000,0.00145400,1113354.00000000,0.00145300,514403.00000000,0.00145200,826783.00000000,0.00145100,515995.00000000,0.00145000,73333.00000000,0.00144900,264685.00000000,0.00144800,595733.00000000,0.00144600,190899.00000000,0.00145900,93976.00000000,0.00146000,577865.00000000,0.00146100,985835.00000000,0.00146200,72292.00000000,0.00146300,532141.00000000,0.00146400,1746228.00000000,0.00146500,81129.00000000,0.00146600,88756.00000000,0.00146700,251750.00000000,0.00146800,797174.00000000,0.03215,15,0.03214,75,0.03212,15,0.03211,89,0.0321,52,0.03209,14,0.03208,90,0.03202,15,0.03201,75,0.032,14,0.03222,15,0.03223,74,0.03224,14,0.03225,89,0.03227,15,0.03228,75,0.0323,1,0.03232,14,0.03233,10,0.03234,89
binance,gate,FUNUSDT,0.00145900,0.03215,2103.5641,1774095627602,,,,0.00145600,646678.00000000,0.00145500,7207191.00000000,0.00145400,1113354.00000000,0.00145300,514403.00000000,0.00145200,826783.00000000,0.00145100,515995.00000000,0.00145000,73333.00000000,0.00144900,264685.00000000,0.00144800,595733.00000000,0.00144600,190899.00000000,0.00145900,93976.00000000,0.00146000,577865.00000000,0.00146100,985835.00000000,0.00146200,72292.00000000,0.00146300,532141.00000000,0.00146400,1746228.00000000,0.00146500,81129.00000000,0.00146600,88756.00000000,0.00146700,251750.00000000,0.00146800,797174.00000000,0.03215,15,0.03214,75,0.03212,15,0.03211,89,0.0321,52,0.03209,14,0.03208,90,0.03202,15,0.03201,75,0.032,14,0.03222,15,0.03223,74,0.03224,14,0.03225,89,0.03227,15,0.03228,75,0.0323,1,0.03232,14,0.03233,10,0.03234,89
binance,gate,FUNUSDT,0.00145900,0.03215,2103.5641,1774095627902,,,,0.00145600,646678.00000000,0.00145500,7207191.00000000,0.00145400,1113354.00000000,0.00145300,514403.00000000,0.00145200,826783.00000000,0.00145100,515995.00000000,0.00145000,73333.00000000,0.00144900,264685.00000000,0.00144800,595733.00000000,0.00144600,190899.00000000,0.00145900,93976.00000000,0.00146000,577865.00000000,0.00146100,985835.00000000,0.00146200,72292.00000000,0.00146300,532141.00000000,0.00146400,1746228.00000000,0.00146500,81129.00000000,0.00146600,88756.00000000,0.00146700,251750.00000000,0.00146800,797174.00000000,0.03215,15,0.03214,75,0.03212,15,0.03211,89,0.0321,52,0.03209,14,0.03208,90,0.03202,15,0.03201,75,0.032,14,0.03222,15,0.03223,74,0.03224,14,0.03225,89,0.03227,15,0.03228,75,0.0323,1,0.03232,14,0.03233,10,0.03234,89
binance,gate,FUNUSDT,0.00145900,0.03215,2103.5641,1774095628205,,,,0.00145600,646678.00000000,0.00145500,7207191.00000000,0.00145400,1113354.00000000,0.00145300,514403.00000000,0.00145200,826783.00000000,0.00145100,515995.00000000,0.00145000,73333.00000000,0.00144900,264685.00000000,0.00144800,595733.00000000,0.00144600,190899.00000000,0.00145900,93976.00000000,0.00146000,577865.00000000,0.00146100,985835.00000000,0.00146200,72292.00000000,0.00146300,532141.00000000,0.00146400,1746228.00000000,0.00146500,81129.00000000,0.00146600,88756.00000000,0.00146700,251750.00000000,0.00146800,797174.00000000,0.03215,15,0.03214,75,0.03212,15,0.03211,89,0.0321,52,0.03209,14,0.03208,90,0.03202,15,0.03201,75,0.032,14,0.03222,15,0.03223,74,0.03224,14,0.03225,89,0.03227,15,0.03228,75,0.0323,1,0.03232,14,0.03233,10,0.03234,89
binance,gate,FUNUSDT,0.00145900,0.03215,2103.5641,1774095628506,,,,0.00145600,646678.00000000,0.00145500,7207191.00000000,0.00145400,1113354.00000000,0.00145300,514403.00000000,0.00145200,826783.00000000,0.00145100,515995.00000000,0.00145000,73333.00000000,0.00144900,264685.00000000,0.00144800,595733.00000000,0.00144600,190899.00000000,0.00145900,93976.00000000,0.00146000,577865.00000000,0.00146100,985835.00000000,0.00146200,72292.00000000,0.00146300,532141.00000000,0.00146400,1746228.00000000,0.00146500,81129.00000000,0.00146600,88756.00000000,0.00146700,251750.00000000,0.00146800,797174.00000000,0.03215,15,0.03214,75,0.03212,15,0.03211,89,0.0321,52,0.03209,14,0.03208,90,0.03202,15,0.03201,75,0.032,14,0.03223,14,0.03224,88,0.03225,89,0.03227,15,0.03228,75,0.0323,1,0.03232,14,0.03233,10,0.03234,89,0.03235,15
binance,gate,FUNUSDT,0.00145900,0.03215,2103.5641,1774095628808,,,,0.00145600,646678.00000000,0.00145500,7207191.00000000,0.00145400,1113354.00000000,0.00145300,514403.00000000,0.00145200,826783.00000000,0.00145100,515995.00000000,0.00145000,73333.00000000,0.00144900,264685.00000000,0.00144800,595733.00000000,0.00144600,190899.00000000,0.00145900,93976.00000000,0.00146000,577865.00000000,0.00146100,985835.00000000,0.00146200,72292.00000000,0.00146300,532141.00000000,0.00146400,1746228.00000000,0.00146500,81129.00000000,0.00146600,88756.00000000,0.00146700,251750.00000000,0.00146800,797174.00000000,0.03215,15,0.03214,75,0.03212,15,0.03211,89,0.0321,52,0.03209,14,0.03208,90,0.03202,15,0.03201,75,0.032,14,0.03223,14,0.03224,88,0.03225,89,0.03227,15,0.03228,75,0.0323,1,0.03232,14,0.03233,10,0.03234,89,0.03235,15
binance,gate,FUNUSDT,0.00145900,0.03215,2103.5641,1774095629113,,,,0.00145600,646678.00000000,0.00145500,7207191.00000000,0.00145400,668178.00000000,0.00145300,514403.00000000,0.00145200,826783.00000000,0.00145100,515995.00000000,0.00145000,73333.00000000,0.00144900,264685.00000000,0.00144800,595733.00000000,0.00144600,190899.00000000,0.00145900,93976.00000000,0.00146000,577865.00000000,0.00146100,539992.00000000,0.00146200,72292.00000000,0.00146300,532141.00000000,0.00146400,1293980.00000000,0.00146500,81129.00000000,0.00146600,88756.00000000,0.00146700,251750.00000000,0.00146800,797174.00000000,0.03215,15,0.03214,75,0.03212,15,0.03211,89,0.0321,52,0.03209,14,0.03208,90,0.03202,15,0.03201,75,0.032,14,0.03222,14,0.03223,88,0.03224,14,0.03225,89,0.03227,15,0.03228,75,0.0323,1,0.03232,14,0.03233,10,0.03234,89
binance,gate,FUNUSDT,0.00145900,0.03215,2103.5641,1774095629417,,,,0.00145600,646678.00000000,0.00145500,7207191.00000000,0.00145400,668178.00000000,0.00145300,514403.00000000,0.00145200,826783.00000000,0.00145100,515995.00000000,0.00145000,73333.00000000,0.00144900,264685.00000000,0.00144800,595733.00000000,0.00144600,190899.00000000,0.00145900,93976.00000000,0.00146000,577865.00000000,0.00146100,539992.00000000,0.00146200,72292.00000000,0.00146300,532141.00000000,0.00146400,1293980.00000000,0.00146500,81129.00000000,0.00146600,88756.00000000,0.00146700,251750.00000000,0.00146800,797174.00000000,0.03215,15,0.03214,75,0.03212,15,0.03211,89,0.0321,52,0.03209,14,0.03208,90,0.03202,15,0.03201,75,0.032,14,0.03222,14,0.03223,88,0.03224,14,0.03225,89,0.03227,15,0.03228,75,0.0323,1,0.03232,14,0.03233,10,0.03234,89
binance,gate,FUNUSDT,0.00145900,0.03215,2103.5641,1774095629719,,,,0.00145600,646678.00000000,0.00145500,7207191.00000000,0.00145400,668178.00000000,0.00145300,514403.00000000,0.00145200,826783.00000000,0.00145100,515995.00000000,0.00145000,73333.00000000,0.00144900,264685.00000000,0.00144800,595733.00000000,0.00144600,190899.00000000,0.00145900,93976.00000000,0.00146000,577865.00000000,0.00146100,539992.00000000,0.00146200,72292.00000000,0.00146300,532141.00000000,0.00146400,1293980.00000000,0.00146500,81129.00000000,0.00146600,88756.00000000,0.00146700,251750.00000000,0.00146800,797174.00000000,0.03215,15,0.03214,75,0.03212,15,0.03211,89,0.0321,52,0.03209,14,0.03208,90,0.03202,15,0.03201,75,0.032,14,0.03222,14,0.03223,88,0.03224,14,0.03225,89,0.03227,15,0.03228,75,0.0323,1,0.03232,14,0.03233,10,0.03234,89
